"Freq [GHz]","dB(St(2,1)) [] - g_pillar_position='27.4um'","dB(St(2,1)) [] - g_pillar_position='28.4um'","dB(St(2,1)) [] - g_pillar_position='42.4um'","dB(St(2,1)) [] - g_pillar_position='57.4um'","dB(St(2,1)) [] - g_pillar_position='72.4um'","dB(St(2,1)) [] - g_pillar_position='87.4um'","dB(St(2,1)) [] - g_pillar_position='102.4um'"
9.3,-0.0643887624483451,-0.063912066984095,-0.0633313952852539,-0.0634005156007031,-0.0628263548157434,-0.0649407130415685,-0.0650381441868661
9.4,-0.0647028696371896,-0.0642556729536645,-0.0636304919427442,-0.0636994088735028,-0.0631306426501409,-0.0652419607227775,-0.0653466329463367
9.5,-0.0650196638740868,-0.0646024261296165,-0.0639320946199002,-0.0640007827818527,-0.0634378743524084,-0.065545696654692,-0.065657689050387
9.6,-0.0653391503694599,-0.064952308137494,-0.064236208938268,-0.0643046433666947,-0.0637480353241003,-0.0658519322486406,-0.0659713230142891
9.7,-0.0656613340617888,-0.0653053011812891,-0.0645428402392529,-0.0646109963395157,-0.0640611107848121,-0.06616067834988,-0.0662875448695018
9.8,-0.0659862196277973,-0.0656613879818916,-0.0648519935946964,-0.0649198470934916,-0.0643770857886262,-0.0664719452483186,-0.0666063641700697
9.9,-0.0663138114911822,-0.0660205517182784,-0.0651636738160317,-0.065231200713162,-0.0646959452389222,-0.0667857426888868,-0.0669277899987771
10,-0.0666441138300611,-0.0663827759717162,-0.0654778854619459,-0.0655450619827928,-0.0650176739017638,-0.0671020798816314,-0.06725183097312
10.1,-0.0669771305832234,-0.0667480446731406,-0.0657946328448562,-0.0658614353934791,-0.0653422564179199,-0.0674209655114818,-0.067578495251104
10.2,-0.0673128654553188,-0.0671163420538874,-0.0661139200361479,-0.0661803251491637,-0.0656696773136209,-0.0677424077476937,-0.0679077905368351
10.3,-0.0676513219210533,-0.067487652599718,-0.0664357508704196,-0.0665017351716164,-0.0659999210102582,-0.0680664142529561,-0.0682397240859697
10.4,-0.0679925032284695,-0.0678619610082506,-0.0667601289486864,-0.0668256691044894,-0.0663329718329875,-0.0683929921921279,-0.0685743027110007
10.5,-0.0683364124014118,-0.0682392521495927,-0.0670870576407405,-0.0671521303165025,-0.0666688140184147,-0.0687221482406325,-0.0689115327863704
10.6,-0.0686830522412296,-0.0686195110302749,-0.067416540086665,-0.067481121903854,-0.0670074317214098,-0.0690538885924621,-0.0692514202534775
10.7,-0.0690324253278043,-0.0690027227601805,-0.0677485791976059,-0.0678126466919027,-0.067348809021168,-0.0693882189677903,-0.0695939706254845
10.8,-0.0693845340199188,-0.0693888725224867,-0.0680831776558854,-0.0681467072362606,-0.067692929926504,-0.069725144620236,-0.0699391889920538
10.9,-0.0697394073144477,-0.0697779740625645,-0.0684203630518862,-0.0684833307256915,-0.0680398049647193,-0.0700646958770348,-0.0702871062680753
11,-0.0700970203001684,-0.0701699838310966,-0.0687601125090446,-0.0688224943081389,-0.0683893911220013,-0.0704068516204683,-0.0706377005396183
11.1,-0.0704573746630844,-0.0705648870772328,-0.0691024280111691,-0.0691641997227083,-0.0687416722201709,-0.0707516157314417,-0.0709909756411556
11.2,-0.0708204718643139,-0.0709626690288812,-0.0694473113078445,-0.0695084484373536,-0.0690966320260931,-0.0710989916494568,-0.0713469350012848
11.3,-0.0711863131380769,-0.0713633148750844,-0.069794763911877,-0.0698552416474099,-0.0694542542542503,-0.0714489823778754,-0.0717055816467578
11.4,-0.0715548994892732,-0.0717668097504907,-0.0701447870963803,-0.070204580273717,-0.0698145225690011,-0.0718015904887162,-0.0720669182064043
11.5,-0.0719262316907889,-0.0721731387215841,-0.0704973818915146,-0.0705564649604642,-0.0701774205863536,-0.0721568181270934,-0.0724309469149392
11.6,-0.0723003102804415,-0.0725822867746863,-0.0708525490808808,-0.0709108960726615,-0.0705429318755309,-0.0725146670152567,-0.0727976696166343
11.7,-0.0726771355577308,-0.0729942388054526,-0.071210289197663,-0.0712678736933589,-0.0709110399601978,-0.0728751384562735,-0.073167087768863
11.8,-0.0730567075802654,-0.0734089796098305,-0.0715706025204841,-0.0716273976206425,-0.0712817283194492,-0.0732382333372631,-0.0735392024455604
11.9,-0.0734390261600568,-0.0738264938763005,-0.071933489069031,-0.071989467364351,-0.0716549803885859,-0.0736039521323671,-0.0739140143405262
12,-0.0738240908595339,-0.0742467661793091,-0.0722989485994933,-0.0723540821426399,-0.0720307795596711,-0.0739722949052418,-0.0742915237706167
12.1,-0.0742119009874398,-0.0746697809737509,-0.0726669805997905,-0.072721240878337,-0.0724091091819179,-0.0743432613113192,-0.0746717306788429
12.2,-0.0746024555945457,-0.0750955225904626,-0.0730375842846498,-0.073090942195153,-0.0727899525619597,-0.074716850599639,-0.0750546346372989
12.3,-0.0749957534692115,-0.0755239752325518,-0.0734107585905414,-0.0734631844137337,-0.0731732929639332,-0.0750930616143874,-0.0754402348500444
12.4,-0.075391793132866,-0.0759551229725286,-0.0737865021704721,-0.0738379655476214,-0.0735591136095072,-0.0754718927961571,-0.0758285301557878
12.5,-0.0757905728353122,-0.076388949750162,-0.0741648133886967,-0.0742152832990789,-0.0739473976777792,-0.0758533421828301,-0.0762195190305048
12.6,-0.0761920905500091,-0.0768254393709553,-0.074545690315319,-0.0745951350548398,-0.0743381283051213,-0.0762374074102334,-0.0766131995899416
12.7,-0.0765963439691973,-0.0772645755051877,-0.074929130720819,-0.0749775178817982,-0.0747312885849315,-0.0766240857125134,-0.0770095695919423
12.8,-0.0770033304990384,-0.0777063416874749,-0.0753151320705163,-0.0753624285226126,-0.0751268615673625,-0.0770133739222027,-0.0774086264387232
12.9,-0.0774130472545966,-0.0781507213167756,-0.0757036915190173,-0.0757498633912699,-0.0755248302590189,-0.077405268470115,-0.0778103671789842
13,-0.0778254910548815,-0.0785976976568007,-0.076094805904566,-0.0761398185686662,-0.0759251776225764,-0.0777997653849191,-0.0782147885099217
