"Freq [GHz]","dB(St(1,1)) [] - g_pillar_position='27.4um' gpillar_r='5um'","dB(St(1,1)) [] - g_pillar_position='28.4um' gpillar_r='5um'","dB(St(1,1)) [] - g_pillar_position='42.4um' gpillar_r='5um'","dB(St(1,1)) [] - g_pillar_position='57.4um' gpillar_r='5um'","dB(St(1,1)) [] - g_pillar_position='72.4um' gpillar_r='5um'","dB(St(1,1)) [] - g_pillar_position='87.4um' gpillar_r='5um'","dB(St(1,1)) [] - g_pillar_position='102.4um' gpillar_r='5um'"
11.5,-28.353704753595,-28.1886378939754,-29.0683381340647,-29.2033239758332,-29.535205827596,-29.4162311751129,-28.9434652549812
11.6,-28.2814483102027,-28.115619975138,-28.9959074793314,-29.1297043446393,-29.4601523067373,-29.3413136871129,-28.869517439441
11.7,-28.2097790763774,-28.0431718164231,-28.9240634497445,-29.056700962196,-29.3857578289842,-29.2670539095242,-28.7962091384374
11.8,-28.1386886443198,-27.9712852543831,-28.8527976552965,-28.9843045017464,-29.3120110870876,-29.1934408898375,-28.7235300053898
11.9,-28.0681687655366,-27.8999523671009,-28.7821018643275,-28.9125058297543,-29.2389010394825,-29.1204639299054,-28.6514699209354
12,-27.9982113471944,-27.8291654590572,-28.7119679999144,-28.8412960008793,-29.1664169047192,-29.0481125787869,-28.5800189876184
12.1,-27.9288084485821,-27.7589170472396,-28.6423881363678,-28.7706662531291,-29.0945481558844,-28.9763766258655,-28.5091675247089
12.2,-27.8599522776777,-27.6891998483943,-28.5733544958322,-28.7006080031801,-29.0232845150248,-28.9052460942313,-28.4389060631448
12.3,-27.7916351878135,-27.6200067673347,-28.5048594449862,-28.631112841858,-28.9526159475848,-28.8347112343115,-28.3692253405945
12.4,-27.7238496744375,-27.5513308862168,-28.4368954918361,-28.5621725297721,-28.8825326568686,-28.7647625177366,-28.3001162966336
12.5,-27.656588371965,-27.4831654547064,-28.3694552826014,-28.4937789930938,-28.813025078536,-28.6953906314326,-28.2315700680323
12.6,-27.5898440507189,-27.4155038809601,-28.302531598687,-28.4259243194733,-28.7440838751418,-28.6265864719255,-28.1635779841505
12.7,-27.5236096139537,-27.3483397233558,-28.23611735374,-28.3586007540906,-28.6756999307241,-28.5583411398486,-28.096131562436
12.8,-27.4578780949606,-27.2816666829041,-28.1702055907852,-28.2918006958299,-28.6078643454523,-28.4906459346406,-28.0292225040233
12.9,-27.3926426542503,-27.2154785962856,-28.1047894794415,-28.2255166935767,-28.5405684303373,-28.423492349427,-27.9628426894295
13,-27.3278965768116,-27.1497694294572,-28.0398623132092,-28.1597414426286,-28.4738037020116,-28.3568720660716,-27.8969841743454
13.1,-27.2636332694415,-27.0845332717784,-27.9754175068322,-28.0944677812178,-28.4075618775846,-28.2907769503924,-27.8316391855187
13.2,-27.199846258146,-27.019764330611,-27.9114485937284,-28.0296886871385,-28.3418348695758,-28.2251990475306,-27.7668001167268
13.3,-27.136531458591,-26.9554591614445,-27.8479514945623,-27.9653996319285,-28.2766172279729,-28.160133037333,-27.7024619325992
13.4,-27.0736825392314,-26.8916121142772,-27.7849198843063,-27.9015937672621,-28.2119011326253,-28.095571202909,-27.6386172464205
13.5,-27.0112910688838,-26.8282154631852,-27.7223453396913,-27.8382620840771,-28.1476765736284,-28.031503609177,-27.5752564913103
13.6,-26.9493510287331,-26.7652638443207,-27.6602218474597,-27.7753980901555,-28.0839362010103,-27.967922979528,-27.5123726948036
13.7,-26.8878565070601,-26.7027519904527,-27.5985435010626,-27.7129954173141,-28.0206728360069,-27.9048221954172,-27.4499590324805
13.8,-26.8268016970174,-26.6406747276445,-27.5373044984639,-27.6510478185839,-27.9578794665379,-27.8421942925027,-27.3880088244427
13.9,-26.7661808944604,-26.5790269721725,-27.4764991399984,-27.5895491654714,-27.8955492427738,-27.7800324568912,-27.3265155318681
14,-26.7059884958311,-26.5178037276644,-27.416121826285,-27.5284934452948,-27.8336754728039,-27.7183300214805,-27.2654727536417
