"Freq [GHz]","lost_power_fraction [] - g_pillar_position='27.4um'","lost_power_fraction [] - g_pillar_position='28.4um'","lost_power_fraction [] - g_pillar_position='42.4um'","lost_power_fraction [] - g_pillar_position='57.4um'","lost_power_fraction [] - g_pillar_position='72.4um'","lost_power_fraction [] - g_pillar_position='87.4um'","lost_power_fraction [] - g_pillar_position='102.4um'"
28.5,0.028755926313519,0.0289054648806319,0.0283492673426459,0.0283544803430298,0.0285348228199742,0.0291415578128987,0.0295015763849017
28.6,0.0288349062817298,0.0289849570992085,0.0284256303351363,0.0284311758156247,0.0286140043047392,0.0292182086027788,0.0295849094927413
28.7,0.0289136377598839,0.0290642564488745,0.0285017614080164,0.0285076603293594,0.0286930040236878,0.0292945572295554,0.0296679376270372
28.8,0.0289921208234808,0.0291433614119509,0.0285776612013163,0.0285839343666978,0.0287718201347729,0.0293705997889875,0.0297506549403203
28.9,0.029070355654439,0.0292222705097247,0.0286533304464617,0.0286599984881181,0.0288504508309916,0.0294463318390167,0.0298330561862166
29,0.0291483425388647,0.0293009823026018,0.0287287699636791,0.0287358533298598,0.0289288943405824,0.0295217482820278,0.0299151368015325
29.1,0.0292260818647751,0.0293794953902487,0.0288039806593663,0.0288114996016221,0.0290071489272257,0.0295968432214989,0.0299968929658717
29.2,0.0293035741197447,0.0294578084117181,0.0288789635234258,0.0288869380842667,0.0290852128902295,0.0296716097861466,0.0300783216374953
29.3,0.0293808198885186,0.0295359200455947,0.0289537196265859,0.0289621696274876,0.0291630845647317,0.0297460399125265,0.0301594205656461
29.4,0.0294578198505685,0.0296138290101243,0.0290282501176847,0.0290371951474746,0.0292407623218807,0.0298201240740284,0.0302401882809457
29.5,0.0295345747776008,0.0296915340633428,0.029102556220947,0.0291120156245602,0.0293182445690289,0.0298938509400134,0.0303206240665392
29.6,0.029611085531032,0.0297690340031996,0.0291766392332428,0.0291866321008672,0.029395529749918,0.029967206943011,0.0304007279134056
29.7,0.0296873530594236,0.0298463276676863,0.0292505005213386,0.0292610456779444,0.0294726163448623,0.0300401757235284,0.0304805004636375
29.8,0.0297633783958783,0.0299234139349546,0.0293241415191323,0.0293352575144,0.0295495028709283,0.0301127374099392,0.030559942945569
29.9,0.0298391626554183,0.0300002917234326,0.0293975637248989,0.0294092688235388,0.0296261878821164,0.0301848676732679,0.0306390571044012
30,0.0299147070323264,0.0300769599919481,0.0294707686985257,0.0294830808710074,0.0297026699695407,0.0302565364701969,0.0307178451315797
30.1,0.0299900127974766,0.0301534177398299,0.0295437580587563,0.0295566949724323,0.0297789477616,0.0303277063475585,0.0307963095956515
30.2,0.0300650812956338,0.0302296640070275,0.0296165334804356,0.0296301124910814,0.0298550199241547,0.0303983301192412,0.0308744533767157
30.3,0.0301399139427551,0.0303056978742146,0.0296890966917793,0.0297033348355285,0.0299308851606959,0.0304683476277239,0.0309522796059956
