Freq.	S12(V1)
9.77977977977978e+09	(-5.71426708636799e-01dB,1.54226149395638e+02°)
9.82882882882883e+09	(-5.71002515095699e-01dB,1.53193630036442e+02°)
9.87787787787788e+09	(-5.70579132674086e-01dB,1.52160993468097e+02°)
9.92692692692693e+09	(-5.70157112077021e-01dB,1.51128239305028e+02°)
9.97597597597598e+09	(-5.69737008801933e-01dB,1.50095367270117e+02°)
1.00250250250250e+10	(-5.69319382660951e-01dB,1.49062377196428e+02°)
1.00740740740741e+10	(-5.68904797291248e-01dB,1.48029269028844e+02°)
1.01231231231231e+10	(-5.68493819653182e-01dB,1.46996042825620e+02°)
1.01721721721722e+10	(-5.68087019517025e-01dB,1.45962698759829e+02°)
1.02212212212212e+10	(-5.67684968938440e-01dB,1.44929237120731e+02°)
1.02702702702703e+10	(-5.67288241723081e-01dB,1.43895658315014e+02°)
1.03193193193193e+10	(-5.66897412880911e-01dB,1.42861962867953e+02°)
1.03683683683684e+10	(-5.66513058070535e-01dB,1.41828151424451e+02°)
1.04174174174174e+10	(-5.66135753034029e-01dB,1.40794224749970e+02°)
1.04664664664665e+10	(-5.65766073022829e-01dB,1.39760183731347e+02°)
1.05155155155155e+10	(-5.65404592215161e-01dB,1.38726029377501e+02°)
1.05645645645646e+10	(-5.65051883125476e-01dB,1.37691762820005e+02°)
1.06136136136136e+10	(-5.64708516006527e-01dB,1.36657385313551e+02°)
1.06626626626627e+10	(-5.64375058244632e-01dB,1.35622898236280e+02°)
1.07117117117117e+10	(-5.64052073748756e-01dB,1.34588303089985e+02°)
1.07607607607608e+10	(-5.63740122333943e-01dB,1.33553601500186e+02°)
1.08098098098098e+10	(-5.63439759099747e-01dB,1.32518795216071e+02°)
1.08588588588589e+10	(-5.63151533804482e-01dB,1.31483886110299e+02°)
1.09079079079079e+10	(-5.62875990235710e-01dB,1.30448876178672e+02°)
1.09569569569570e+10	(-5.62613665577827e-01dB,1.29413767539661e+02°)
1.10060060060060e+10	(-5.62365089777383e-01dB,1.28378562433793e+02°)
1.10550550550551e+10	(-5.62130784906943e-01dB,1.27343263222901e+02°)
1.11041041041041e+10	(-5.61911264528064e-01dB,1.26307872389217e+02°)
