"Freq [GHz]","lost_power_fraction [] - dielectric_overlap='1um' pillar_h='10um'","lost_power_fraction [] - dielectric_overlap='1um' pillar_h='50um'","lost_power_fraction [] - dielectric_overlap='200um' pillar_h='50um'","lost_power_fraction [] - dielectric_overlap='205um' pillar_h='50um'"
19.3,0.0402795787337288,0.0412036073703344,0.0413027494443792,0.0411532682271463
19.4,0.0404294475177463,0.0413728572023661,0.0414749650769969,0.0413326205429203
19.5,0.0405789208799062,0.0415422757998205,0.0416473004227763,0.0415121936295024
19.6,0.0407279925415819,0.0417118460600206,0.0418197365538798,0.0416919224334958
19.7,0.0408766650818386,0.0418815508152605,0.0419922545344364,0.0418717402222353
19.8,0.041024951270074,0.0420513728427513,0.0421648354335801,0.0420515791375642
19.9,0.0411728753036067,0.0422212948747536,0.0423374603385744,0.042231370787868
20,0.0413204738582637,0.0423912996088968,0.0425101103680104,0.0424110468667257
20.1,0.0414677968476443,0.0425613697186663,0.0426827666850474,0.0425905397852155
20.2,0.0416149077805473,0.0427314878640518,0.0428554105106905,0.0427697833041513
20.3,0.0417618836092853,0.0429016367023443,0.0430280231370908,0.0429487131521467
20.4,0.0419088139765902,0.0430717988990845,0.0432005859408125,0.0431272676156319
20.5,0.042055799797573,0.0432419571391133,0.043373080396107,0.0433053880876602
20.6,0.0422029511553124,0.0434120941377562,0.0435454880881169,0.0434830195636053
20.7,0.0423503884686609,0.0435821921078533,0.0437177895197224,0.0436601053244904
20.8,0.0424982296851212,0.0437522340744859,0.0438899673972252,0.04383660373747
20.9,0.0426465936171907,0.0439222029145368,0.0440620037215655,0.0440124730447395
21,0.0427955943546093,0.0440920815813383,0.0442338806570201,0.0441876763738605
21.1,0.0429453373730955,0.0442618531161738,0.0444055805438736,0.0443621818542255
21.2,0.0430959159382192,0.0444315006598103,0.0445770859109084,0.0445359626530204
21.3,0.0432474080370568,0.0446010074640219,0.0447483794877024,0.0447089969342333
21.4,0.0433998740284042,0.0447703569030872,0.0449194442167138,0.0448812677462379
21.5,0.0435533551402008,0.0449395324852562,0.0450902632651308,0.0450527628450013
21.6,0.0437078728693233,0.0451085178641419,0.0452608200364644,0.045223474461133
21.7,0.0438634292635942,0.0452772968500391,0.045431098181864,0.0453933990197853
21.8,0.0440200079985611,0.0454458534211394,0.0456010816111438,0.0455625368228289
21.9,0.0441775761096796,0.0456141717346203,0.0457707545034872,0.0457308917027657
22,0.0443360862083156,0.0457822361375877,0.0459401013178263,0.0458984706575999
22.1,0.0444954789983808,0.0459500311778628,0.0461091068028595,0.0460652834753498
22.2,0.0446556859172822,0.0461175416145638,0.0462777560067135,0.0462313423561713
22.3,0.0448166317460641,0.046284752428499,0.0464460342862092,0.0463966615391453
22.4,0.0449782370638751,0.0464516488323176,0.0466139273157297,0.0465612569398579
22.5,0.045140420456229,0.0466182162804133,0.0467814210956781,0.0467251458038216
22.6,0.0453031004203982,0.0467844404785621,0.0469485019604925,0.0468883463798051
22.7,0.0454661969417246,0.0469503073932634,0.0471151565862292,0.0470508776161264
22.8,0.0456296327395062,0.047115803260776,0.0472813719976874,0.0472127588820622
22.9,0.0457933341999249,0.0472809145958293,0.0474471355750593,0.0473740097156462
23,0.0459572320260754,0.0474456281999763,0.0476124350601117,0.0475346495984552
23.1,0.0461212619945405,0.0476099290948203,0.0477772561720468,0.0476946949490079
23.2,0.0462853636612373,0.047773804501877,0.0479415872316397,0.0478541648303082
23.3,0.0464494818252752,0.0479372441527809,0.0481054194427969,0.0480130803482725
23.4,0.0466135667775503,0.0481002360816694,0.0482687420564339,0.0481714590098887
23.5,0.046777573469447,0.0482627686457765,0.0484315447086097,0.0483293175223314
23.6,0.046941461254838,0.048424830531366,0.048593817423668,0.0484866717138831
23.7,0.0471051935902286,0.0485864107592223,0.0487555506168531,0.0486435364735077
23.8,0.0472687377118733,0.0487474986896934,0.0489167350964212,0.0487999257072094
23.9,0.0474320643045551,0.0489080840272577,0.0490773620652239,0.0489558523093221
24,0.0475951471730855,0.0490681568246266,0.0492374231217792,0.0491113281469352
24.1,0.0477579629245279,0.0492277074863721,0.049396910260835,0.0492663640557355
24.2,0.0479204906666946,0.0493867267720727,0.0495558158734119,0.0494209698456706
24.3,0.0480827117264083,0.0495452057989742,0.0497141327463504,0.0495751543149092
24.4,0.0482446093895233,0.0497031360441673,0.0498718540613583,0.0497289252707451
24.5,0.0484061686634934,0.0498605093462787,0.0500289733935625,0.0498822895561826
24.6,0.0485673760624235,0.0500173179066802,0.0501854847095868,0.0500352530811033
24.7,0.0487282194139204,0.0501735542902102,0.0503413823651458,0.0501878208569829
24.8,0.0488886876866724,0.0503292114254265,0.0504966611021892,0.0503399970343126
24.9,0.0490487708373766,0.0504842826043718,0.0506513160455769,0.0504917849419404
25,0.0492084596755585,0.0506387614818928,0.0508053426993381,0.0506431871276602
25.1,0.0493677457447121,0.0507926420744742,0.0509587369424805,0.0507942053995027
25.2,0.0495266212182418,0.0509459187586427,0.0511114950244041,0.0509448408672196
25.3,0.0496850788087043,0.0510985862689182,0.0512636135599111,0.0510950939835868
25.4,0.0498431116889403,0.0512506396953338,0.0514150895238327,0.0512449645851588
25.5,0.0500007134237889,0.051402074480541,0.0515659202452934,0.0513944519322268
25.6,0.0501578735677694,0.0515528802724164,0.0517160970335021,0.0515435509608974
25.7,0.050314590537269,0.0517030592848252,0.0518656242439712,0.0516922636384637
25.8,0.0504708587573442,0.051852608006417,0.0520145002401696,0.051840587713073
25.9,0.0506266728538449,0.0520015232627526,0.0521627237133246,0.0519885205060203
26,0.0507820276221429,0.0521498022114905,0.0523102936751054,0.0521360589452274
26.1,0.0509369180006811,0.0522974423372418,0.0524572094500524,0.0522831995972267
26.2,0.051091339048698,0.0524444414461121,0.0526034706677589,0.0524299386976202
26.3,0.0512452859275906,0.0525907976599407,0.0527490772548452,0.0525762721800098
26.4,0.051398753885421,0.052736509410246,0.0528940294267235,0.052722195703447
26.5,0.0515517382441307,0.0528815754319324,0.0530383276791887,0.0528677046783853
26.6,0.051704234389122,0.0530259947567176,0.0531819727798453,0.0530127942912136
26.7,0.0518562377608333,0.0531697667063571,0.0533249657593934,0.053157459527398
26.8,0.052007743848076,0.0533128908856376,0.0534673079027934,0.0533016951932796
26.9,0.0521587481828288,0.0534553671751913,0.0536090007403261,0.0534454959365908
27,0.0523092463363359,0.0535971957241256,0.0537500460385713,0.0535888562657487
27.1,0.0524592339162695,0.0537383769424974,0.0538904457913132,0.0537317705679622
27.2,0.0526087065648257,0.0538789114936526,0.0540302022104115,0.0538742331262456
27.3,0.0527576599576055,0.0540188002864364,0.0541693177166289,0.0540162381353688
27.4,0.0529060898031528,0.0541580444673039,0.0543077949304503,0.0541577797168128
27.5,0.0530539918430644,0.054296645412347,0.0544456366629166,0.0542988519327894
27.6,0.0532013618525495,0.0544346047192385,0.0545828459064597,0.0544394487993754
27.7,0.0533481956414036,0.0545719241991392,0.0547194258257955,0.0545795642988134
27.8,0.053494489055281,0.0547086058685498,0.0548553797488547,0.0547191923910402
27.9,0.0536402379772612,0.054844651941161,0.0549907111577824,0.0548583270244809
28,0.0537854356207385,0.0549800617283944,0.0551254206646841,0.0549969596679335
28.1,0.0539300778915089,0.0551148378535621,0.0552595120896154,0.0551350841895364
28.2,0.0540741634869247,0.0552489861813629,0.0553929923611395,0.0552726970111676
28.3,0.0542176884603676,0.0553825096371004,0.0555258654932204,0.0554097921310982
28.4,0.0543606489129839,0.0555154113023525,0.0556581356102215,0.0555463635809368
28.5,0.0545030409960315,0.0556476944069857,0.0557898069385913,0.0556824054329303
28.6,0.0546448609132371,0.0557793623212448,0.0559208837987005,0.0558179118068068
28.7,0.0547861049232084,0.0559104185479268,0.0560513705968416,0.0559528768762153
28.8,0.0549267693418308,0.0560408667146577,0.0561812718174066,0.0560872948747641
28.9,0.0550668505446805,0.0561707105662681,0.0563105920152253,0.0562211601017138
29,0.0552063449694163,0.0562999539572906,0.0564393358081104,0.0563544669273199
29.1,0.0553452491181574,0.0564286008445845,0.0565675078695808,0.0564872097978784
29.2,0.0554835595598383,0.0565566552800928,0.056695112921793,0.0566193832404686
29.3,0.0556212729325244,0.0566841214037379,0.056822155728666,0.0567509818674402
29.4,0.0557583859457066,0.0568110034364753,0.0569486410892283,0.0568820003806426
29.5,0.0558948953825474,0.0569373056734911,0.0570745738311648,0.0570124335754258
29.6,0.0560307981020916,0.0570630324775734,0.0571999588045861,0.057142276344425
29.7,0.0561660910414285,0.0571881882726426,0.0573248008760152,0.0572715236811435
29.8,0.0563007712178195,0.0573127775374592,0.0574491049225952,0.0574001706833565
29.9,0.0564348357307701,0.0574368047995007,0.0575728758265203,0.057528212556334
30,0.0565682817640632,0.0575602746290302,0.0576961184696892,0.0576556446159027
30.1,0.0567011065877454,0.057683191633336,0.0578188377285852,0.0577824622913676
30.2,0.0568333075600568,0.0578055604511614,0.0579410384693735,0.0579086611282841
30.3,0.0569648821293276,0.0579273857473334,0.0580627255432334,0.058034236791102
30.4,0.0570958278358214,0.0580486722075647,0.058183903781904,0.0581591850656968
30.5,0.0572261361029087,0.0581694193425969,0.058304573098453,0.0582834956322321
30.6,0.0573558108288711,0.0582896371467219,0.0584247432596217,0.0584071706822845
30.7,0.0574848498431773,0.0584093303391474,0.0585444190133495,0.058530206383729
30.8,0.0576132510742119,0.0585285036409642,0.0586636050724139,0.0586525990349666
30.9,0.0577410125508957,0.0586471617709304,0.0587823061110703,0.0587743450669581
31,0.0578681324042564,0.0587653094414378,0.0589005267619154,0.0588954410451468
31.1,0.057994608868971,0.0588829513546709,0.0590182716129519,0.0590158836713374
31.2,0.0581204402848543,0.0590000921989554,0.0591355452048468,0.0591356697854772
31.3,0.0582456250983143,0.0591167366452993,0.0592523520284074,0.0592547963673783
31.4,0.0583701618637592,0.0592328893441008,0.059368696522231,0.0593732605383759
31.5,0.0584940492449867,0.0593485549220558,0.059484583070565,0.0594910595629266
31.6,0.0586172860165126,0.0594637379792428,0.0596000160013338,0.0596081908501394
31.7,0.0587398710648773,0.0595784430863736,0.0597149995843667,0.0597246519552577
31.8,0.0588618033899122,0.0596926747822311,0.0598295380297826,0.0598404405810896
31.9,0.0589830821059706,0.0598064375712671,0.0599436354865615,0.0599555545793855
32,0.0591037064431298,0.0599197359213753,0.0600572960412755,0.0600699919521607
32.1,0.0592236757483506,0.0600325742618204,0.0601705237169824,0.0601837508529802
32.2,0.0593429894866142,0.0601449569813328,0.0602833224722791,0.0602968295881991
32.3,0.0594616472420243,0.0602568884263535,0.0603956962005012,0.0604092266181468
32.4,0.0595796487188795,0.0603683728994346,0.0605076487290711,0.0605209405582851
32.5,0.0596969937427049,0.0604794146577892,0.060619183818989,0.0606319701803161
32.6,0.0598136822612745,0.0605900179119759,0.0607303051644534,0.0607423144132538
32.7,0.0599297143455917,0.0607001868247308,0.0608410163926162,0.0608519723444566
32.8,0.0600450901908445,0.0608099255099337,0.0609513210634701,0.0609609432206239
32.9,0.0601598069041936,0.0609192359623478,0.0610612207108409,0.0610692230757645
33,0.0602738649402119,0.0610281222526949,0.0611707188089485,0.0611768114741996
33.1,0.0603872680910098,0.0611365904305089,0.0612798206903037,0.0612837115218
33.2,0.060500017061179,0.0612446444049297,0.0613885296454715,0.0613899231165084
33.3,0.0606121126839114,0.0613522880328966,0.0614968488989584,0.0614954463200913
33.4,0.0607235559217955,0.0614595251188512,0.061604781609734,0.0616002813589211
33.5,0.0608343478676058,0.0615663594145077,0.0617123308718509,0.0617044286247377
33.6,0.0609444897450435,0.0616727946187435,0.0618194997151322,0.0618078886753697
33.7,0.0610539829094867,0.0617788343775744,0.0619262911059582,0.0619106622354317
33.8,0.0611628288486854,0.0618844822842292,0.0620327079481052,0.0620127501969815
33.9,0.061271029183466,0.0619897418792933,0.0621387530836779,0.0621141536201656
34,0.0613785856683913,0.0620946166509528,0.0622444292940883,0.0622148737338073
34.1,0.0614855001924184,0.0621991100353003,0.0623497393011078,0.0623149119359968
34.2,0.0615917747795193,0.0623032254167208,0.0624546857679687,0.0624142697946263
34.3,0.0616974115893004,0.0624069661283472,0.0625592713005254,0.0625129490479135
34.4,0.0618024129175921,0.0625103354525804,0.0626634984484598,0.0626109516048879
34.5,0.061906781197016,0.0626133366216608,0.0627673697065289,0.0627082795458571
34.6,0.0620105189975537,0.0627159728183153,0.0628708875158631,0.0628049351228384
34.7,0.0621136290270731,0.0628182471764398,0.0629740542652955,0.0629009207599682
34.8,0.062216114131856,0.0629201627818416,0.063076872292718,0.062996239053882
34.9,0.0623179772971026,0.0630217226730259,0.0631793438864861,0.0630908927740729
35,0.0624192216474161,0.0631229298420226,0.0632814712868351,0.063184884863217
35.1,0.0625198504472835,0.0632237872352537,0.0633832566873274,0.0632782184374814
35.2,0.0626198671015227,0.0633242977544448,0.0634847022363144,0.0633708967868028
35.3,0.0627192751557367,0.0634244642575478,0.0635858100384232,0.0634629233751408
