"s [um]","Freq [GHz]","lost_power_fraction []"
24.5,26.382,0.0484461597769464
24.5,26.48,0.0485467620728446
24.5,26.578,0.0486469887159876
24.5,26.676,0.0487468381657457
24.5,26.774,0.0488463089131902
24.5,26.872,0.0489453994818938
24.5,26.97,0.04904410842872
24.5,27.068,0.0491424343446065
24.5,27.166,0.049240375855333
24.5,27.264,0.0493379316222879
24.5,27.362,0.0494351003432189
24.5,27.46,0.0495318807529795
24.5,27.558,0.0496282716242652
24.5,27.656,0.0497242717683397
24.5,27.754,0.0498198800357555
24.5,27.852,0.0499150953170636
24.5,27.95,0.0500099165435169
24.5,28.048,0.0501043426877622
24.5,28.146,0.0501983727645299
24.5,28.244,0.0502920058313091
24.5,28.342,0.0503852409890199
24.5,28.44,0.0504780773826764
24.5,28.538,0.0505705142020403
24.5,28.636,0.0506625506822683
24.5,28.734,0.0507541861045567
24.5,28.832,0.0508454197967695
24.5,28.93,0.050936251134065
24.5,29.028,0.0510266795395186
24.5,29.126,0.0511167044847292
24.5,29.224,0.0512063254904258
24.5,29.322,0.0512955421270681
24.5,29.42,0.051384354015435
24.5,29.518,0.0514727608272109
24.5,29.616,0.0515607622855609
24.5,29.714,0.0516483581657082
24.5,29.812,0.0517355482954942
24.5,29.91,0.0518223325559414
24.5,30.008,0.0519087108818032
24.5,30.106,0.0519946832621129
24.5,30.204,0.052080249740725
24.5,30.302,0.0521654104168505
24.5,30.4,0.0522501654455839
24.5,30.498,0.0523345150384285
24.5,30.596,0.0524184594638125
24.5,30.694,0.0525019990476073
24.5,30.792,0.0525851341736224
24.5,30.89,0.0526678652841206
24.5,30.988,0.0527501928803028
24.5,31.086,0.0528321175228053
24.5,31.184,0.0529136398321811
24.5,31.282,0.0529947604893828
24.5,31.38,0.0530754802362385
24.5,31.478,0.0531557998759181
24.5,31.576,0.0532357202734008
24.5,31.674,0.0533152423559384
24.5,31.772,0.0533943671135044
24.5,31.87,0.0534730955992505
24.5,31.968,0.0535514289299487
24.5,32.066,0.0536293682864362
24.5,32.164,0.0537069149140486
24.5,32.262,0.0537840701230556
24.5,32.36,0.0538608352890859
24.5,32.458,0.053937211853552
24.5,32.556,0.0540132013240697
24.5,32.654,0.0540888052748719
24.5,32.752,0.0541640253472199
24.5,32.85,0.0542388632498083
24.5,32.948,0.0543133207591672
24.5,33.046,0.0543873997200649
24.5,33.144,0.0544611020458914
24.5,33.242,0.0545344297190599
24.5,33.34,0.0546073847913842
24.5,33.438,0.0546799693844651
24.5,33.536,0.0547521856900658
24.5,33.634,0.054824035970487
24.5,33.732,0.0548955225589387
24.5,33.83,0.0549666478599032
24.5,33.928,0.0550374143495003
24.5,34.026,0.0551078245758455
24.5,34.124,0.0551778811594053
24.5,34.222,0.055247586793347
24.5,34.32,0.0553169442438909
24.5,34.418,0.0553859563506484
24.5,34.516,0.0554546260269676
24.5,34.614,0.0555229562602673
24.5,34.712,0.0555909501123731
24.5,34.81,0.0556586107198427
24.5,34.908,0.0557259412942981
24.5,35.006,0.0557929451227446
24.5,35.104,0.0558596255678886
24.5,35.202,0.0559259860684579
24.5,35.3,0.0559920301395129
24.5,35.398,0.056057761372751
24.5,35.496,0.056123183436818
24.5,35.594,0.0561883000776058
24.5,35.692,0.0562531151185532
24.5,35.79,0.0563176324609421
24.5,35.888,0.0563818560841829
24.5,35.986,0.0564457900461116
24.5,36.084,0.0565094384832653
24.5,36.182,0.0565728056111731
24.5,36.28,0.0566358957246262
24.5,36.378,0.0566987131979556
24.5,36.476,0.0567612624853032
24.5,36.574,0.0568235481208876
24.5,36.672,0.0568855747192695
24.5,36.77,0.0569473469756134
24.5,36.868,0.0570088696659418
24.5,36.966,0.0570701476473904
24.5,37.064,0.0571311858584572
24.5,37.162,0.0571919893192511
24.5,37.26,0.0572525631317307
24.5,37.358,0.0573129124799491
24.5,37.456,0.0573730426302824
24.5,37.554,0.0574329589316696
24.5,37.652,0.0574926668158366
24.5,37.75,0.0575521717975187
24.5,37.848,0.0576114794746868
24.5,37.946,0.05767059552876
24.5,38.044,0.057729525724823
24.5,38.142,0.0577882759118343
24.5,38.24,0.057846852022826
24.5,38.338,0.0579052600751181
24.5,38.436,0.0579635061705039
24.5,38.534,0.0580215964954517
24.5,38.632,0.0580795373212925
24.5,38.73,0.0581373350044041
24.5,38.828,0.0581949959863948
24.5,38.926,0.0582525267942822
24.5,39.024,0.0583099340406605
24.5,39.122,0.0583672244238814
24.5,39.22,0.0584244047282058
24.5,39.318,0.0584814818239713
24.5,39.416,0.0585384626677499
24.5,39.514,0.0585953543024929
24.5,39.612,0.0586521638576866
24.5,39.71,0.0587088985494869
24.5,39.808,0.0587655656808631
24.5,39.906,0.0588221726417267
24.5,40.004,0.0588787269090643
24.5,40.102,0.0589352360470569
24.5,40.2,0.0589917077072019
24.5,40.298,0.059048149628425
24.5,40.396,0.0591045696371901
24.5,40.494,0.0591609756476018
24.5,40.592,0.059217375661507
24.5,40.69,0.0592737777685827
24.5,40.788,0.0593301901464289
24.5,40.886,0.0593866210606504
24.5,40.984,0.0594430788649317
24.5,41.082,0.0594995720011111
24.5,41.18,0.0595561089992449
24.5,41.278,0.059612698477667
24.5,41.376,0.0596693491430464
24.5,41.474,0.0597260697904363
24.5,41.572,0.059782869303311
24.5,41.67,0.0598397566536119
24.5,41.768,0.0598967409017637
24.5,41.866,0.0599538311967162
24.5,41.964,0.0600110367759529
24.5,42.062,0.0600683669655023
24.5,42.16,0.0601258311799453
24.5,42.258,0.0601834389224132
24.5,42.356,0.0602411997845814
24.5,42.454,0.0602991234466533
24.5,42.552,0.0603572196773399
24.5,42.65,0.0604154983338349
24.5,42.748,0.0604739693617664
24.5,42.846,0.060532642795175
24.5,42.944,0.0605915287564438
24.5,43.042,0.0606506374562581
24.5,43.14,0.0607099791935278
24.5,43.238,0.0607695643553299
24.5,43.336,0.0608294034168136
24.5,43.434,0.0608895069411255
24.5,43.532,0.0609498855793114
24.5,43.63,0.0610105500702086
24.5,43.728,0.0610715112403466
24.5,43.826,0.0611327800038173
24.5,43.924,0.0611943673621544
24.5,44.022,0.0612562844041954
24.5,44.12,0.0613185423059447
24.5,44.218,0.0613811523304116
24.5,44.316,0.0614441258274625
24.5,44.414,0.0615074742336364
24.5,44.512,0.061571209071984
24.5,44.61,0.0616353419518676
24.5,44.708,0.0616998845687756
24.5,44.806,0.0617648487041119
24.5,44.904,0.0618302462249817
24.5,45.002,0.0618960890839747
24.5,45.1,0.0619623893189275
24.5,45.198,0.0620291590526835
24.5,45.296,0.0620964104928422
24.5,45.394,0.0621641559314977
24.5,45.492,0.0622324077449675
24.5,45.59,0.0623011783935151
24.5,45.688,0.0623704804210558
24.5,45.786,0.0624403264548564
24.5,45.884,0.0625107292052315
24.5,45.982,0.0625817014652136
24.5,46.08,0.0626532561102262
24.5,46.178,0.0627254060977452
24.5,46.276,0.062798164466942
24.5,46.374,0.0628715443383232
24.5,46.472,0.0629455589133606
24.5,46.57,0.0630202214741025
24.5,46.668,0.0630955453827751
24.5,46.766,0.0631715440813939
24.5,46.864,0.0632482310913276
24.5,46.962,0.0633256200128801
24.5,47.06,0.0634037245248507
24.5,47.158,0.0634825583840808
24.5,47.256,0.0635621354249952
24.5,47.354,0.0636424695591288
24.5,47.452,0.0637235747746416
24.5,47.55,0.0638054651358189
24.5,47.648,0.0638881547825711
24.5,47.746,0.063971657929905
24.5,47.844,0.064055988867399
24.5,47.942,0.0641411619586588
24.5,48.04,0.0642271916407576
24.5,48.138,0.0643140924236747
24.5,48.236,0.0644018788897117
24.5,48.334,0.0644905656928998
24.5,48.432,0.0645801675584051
24.5,48.53,0.0646706992818993
24.5,48.628,0.0647621757289395
24.5,48.726,0.0648546118343247
24.5,48.824,0.0649480226014409
24.5,48.922,0.065042423101602
24.5,49.02,0.0651378284733609
24.5,49.118,0.065234253921825
24.5,49.216,0.065331714717948
24.5,49.314,0.0654302261978258
24.5,49.412,0.0655298037619403
24.5,49.51,0.0656304628744462
24.5,49.608,0.0657322190624008
24.5,49.706,0.0658350879149949
24.5,49.804,0.0659390850827826
24.5,49.902,0.0660442262768712
24.5,50,0.0661505272681314
