"Freq [GHz]","dB(St(1,1)) []"
37.8,-17.8364167619621
37.9,-17.843535586987
38,-17.8508624207651
38.1,-17.8583977785052
38.2,-17.8661421855264
38.3,-17.8740961773035
38.4,-17.8822602995155
38.5,-17.8906351080953
38.6,-17.8992211692816
38.7,-17.908019059672
38.8,-17.9170293662794
38.9,-17.9262526865889
39,-17.9356896286181
39.1,-17.9453408109783
39.2,-17.9552068629391
39.3,-17.9652884244935
39.4,-17.9755861464271
39.5,-17.9861006903876
39.6,-17.9968327289587
39.7,-18.007782945734
39.8,-18.0189520353955
39.9,-18.0303407037928
40,-18.0419496680259
40.1,-18.0537796565298
40.2,-18.0658314091624
40.3,-18.0781078662192
40.4,-18.0906076166455
40.5,-18.1033314354521
40.6,-18.1162801094531
40.7,-18.129454437367
40.8,-18.1428552299211
40.9,-18.1564833099584
41,-18.1703395125483
41.1,-18.1844246850995
41.2,-18.1987396874767
41.3,-18.2132853921207
41.4,-18.2280626841711
41.5,-18.2430724615927
41.6,-18.258315635306
41.7,-18.27379312932
41.8,-18.2895058808699
41.9,-18.3054548405574
42,-18.3216409724954
42.1,-18.3380652544565
42.2,-18.3547286780254
42.3,-18.371632248755
42.4,-18.3887769863273
42.5,-18.4061639247177
42.6,-18.4237941123643
42.7,-18.4416698152301
42.8,-18.4597921269647
42.9,-18.4781609431763
43,-18.4967773723695
43.1,-18.5156425384321
43.2,-18.5347575808325
43.3,-18.5541236548219
43.4,-18.5737419316418
43.5,-18.593613598737
43.6,-18.6137398599734
43.7,-18.6341219358621
43.8,-18.6547610637887
43.9,-18.6756584982486
44,-18.6968155110879
44.1,-18.7182333917511
44.2,-18.7399134475343
44.3,-18.7618570038452
44.4,-18.7840654044694
44.5,-18.8065400118437
44.6,-18.8292822073361
44.7,-18.8522933915324
44.8,-18.8755749845309
44.9,-18.8991284262439
45,-18.9229551767066
45.1,-18.9470567163938
45.2,-18.9714372700432
45.3,-18.996095666176
45.4,-19.0210334491852
45.5,-19.0462521852654
45.6,-19.0717534627726
45.7,-19.0975388925916
45.8,-19.1236101085138
45.9,-19.1499687676234
46,-19.1766165506942
46.1,-19.2035551625957
46.2,-19.2307863327101
46.3,-19.2583118153591
46.4,-19.2861333902418
46.5,-19.3142528628841
46.6,-19.3426720650983
46.7,-19.3713928554558
46.8,-19.4004171197705
46.9,-19.4297467715951
47,-19.4593837527304
47.1,-19.4893300337465
47.2,-19.5195876145186
47.3,-19.5501585247755
47.4,-19.5810448246623
47.5,-19.6122486053186
47.6,-19.6437735667073
47.7,-19.6756218952992
47.8,-19.7077942129002
47.9,-19.7402927416724
48,-19.7731197379159
48.1,-19.806277492743
48.2,-19.8397683327699
48.3,-19.873594620827
48.4,-19.9077587566874
48.5,-19.9422631778148
48.6,-19.9771103601314
48.7,-20.0123028188062
48.8,-20.0478431090641
48.9,-20.0837338270171
49,-20.1199776105174
49.1,-20.1565771400342
49.2,-20.1935351395534
49.3,-20.2308543775023
49.4,-20.2685376676999
49.5,-20.3065878703321
49.6,-20.3450078929549
49.7,-20.3838006915251
49.8,-20.422969271459
49.9,-20.462516688721
50,-20.5024460509433
