"Freq [GHz]","dB(St(1,1)) [] - dielectric_overlap='1um' pillar_h='10um'","dB(St(1,1)) [] - dielectric_overlap='1um' pillar_h='50um'","dB(St(1,1)) [] - dielectric_overlap='200um' pillar_h='50um'","dB(St(1,1)) [] - dielectric_overlap='205um' pillar_h='50um'"
26.5,-20.4125269238445,-25.4959244095725,-22.8184809802272,-22.6293349052558
26.6,-20.4005154213616,-25.4984903426452,-22.816743714934,-22.626291372551
26.7,-20.3887357087448,-25.5014374027443,-22.8153380143833,-22.6235673548998
26.8,-20.3771874883469,-25.504767170754,-22.8142647230419,-22.6211636743354
26.9,-20.3658704740969,-25.5084812533155,-22.8135247018892,-22.6190811755566
27,-20.3547843913658,-25.5125812829705,-22.8131188285248,-22.6173207259996
27.1,-20.3439289768351,-25.5170689183147,-22.8130479972839,-22.6158832159142
27.2,-20.3333039783668,-25.5219458441605,-22.8133131193597,-22.6147695584409
27.3,-20.3229091548755,-25.5272137717099,-22.813915122935,-22.6139806896919
27.4,-20.3127442762007,-25.5328744387353,-22.8148549533189,-22.6135175688336
27.5,-20.3028091229818,-25.5389296097696,-22.8161335730913,-22.6133811781728
27.6,-20.2931034865334,-25.5453810763039,-22.817751962253,-22.6135725232449
27.7,-20.2836271687219,-25.552230656992,-22.8197111183835,-22.6140926329048
27.8,-20.2743799818432,-25.5594801978636,-22.8220120568027,-22.6149425594208
27.9,-20.2653617485012,-25.5671315725421,-22.8246558107399,-22.6161233785715
28,-20.2565734222161,-25.5751886710143,-22.8276451223667,-22.6176378226545
28.1,-20.2480148437248,-25.5836534510075,-22.8309810769488,-22.6194870313101
28.2,-20.239684744633,-25.5925258918399,-22.8346630773179,-22.6216705246235
28.3,-20.2315829878574,-25.6018079806299,-22.8386922306638,-22.6241894741189
28.4,-20.2237094460262,-25.6115017332758,-22.8430696630125,-22.6270450753631
28.5,-20.2160640013625,-25.621609194703,-22.8477965194242,-22.6302385480809
28.6,-20.2086465455702,-25.6321324391158,-22.8528739641963,-22.6337711362738
28.7,-20.2014569797194,-25.6430735702507,-22.8583031810694,-22.6376441083425
28.8,-20.1944952141332,-25.654434721632,-22.8640853734384,-22.641858757213
28.9,-20.1877611682756,-25.6662180568279,-22.8702217645661,-22.6464164004665
29,-20.1812547706396,-25.6784257697078,-22.8767135978015,-22.651318380473
29.1,-20.1749759586371,-25.6910600846985,-22.8835621368011,-22.6565660645287
29.2,-20.1689246784885,-25.7041232570407,-22.890768665753,-22.6621608449976
29.3,-20.163100885114,-25.7176175730422,-22.8983344896046,-22.6681041394572
29.4,-20.1575045420254,-25.7315453503299,-22.9062609342933,-22.6743973908482
29.5,-20.1521356212187,-25.745908938097,-22.9145493469791,-22.6810420676285
29.6,-20.1469941030677,-25.7607107173472,-22.9232010962809,-22.6880396639315
29.7,-20.1420799762181,-25.7759531011322,-22.9322175725139,-22.6953916997287
29.8,-20.137393237483,-25.7916385347839,-22.94160018793,-22.703099720997
29.9,-20.1329338917378,-25.8077694961382,-22.9513503769598,-22.71116529989
30,-20.1287019518181,-25.8243484957505,-22.9614695964558,-22.7195900349145
30.1,-20.124697438416,-25.8413780771012,-22.9719593259384,-22.7283755511106
30.2,-20.1209203799786,-25.8588608167899,-22.9828210678413,-22.7375235002377
30.3,-20.1173708126071,-25.876799324717,-22.9940563477592,-22.747035560964
30.4,-20.1140487799557,-25.8951962442503,-23.0056667146953,-22.7569134390612
30.5,-20.1109565649291,-25.9140587991523,-23.017657449539,-22.7671624881168
30.6,-20.1080919954548,-25.9333852061599,-23.0300264717878,-22.7777808825821
30.7,-20.1054551374539,-25.953178210842,-23.042775402851,-22.7887704115446
30.8,-20.1030460640017,-25.9734405927307,-23.0559058885475,-22.8001328920288
30.9,-20.1008648552309,-25.9941751653903,-23.0694195993517,-22.8118701692147
31,-20.0989115982348,-26.0153847764592,-23.083318230639,-22.8239841166606
31.1,-20.0971863869711,-26.0370723076656,-23.0976035029278,-22.8364766365302
31.2,-20.0956893221664,-26.0592406748108,-23.1122771621206,-22.8493496598255
31.3,-20.0944205112212,-26.0818928277204,-23.1273409797412,-22.8626051466223
31.4,-20.093380068115,-26.1050317501584,-23.1427967531693,-22.8762450863117
31.5,-20.0925681133124,-26.128660459703,-23.1586463058706,-22.8902714978451
31.6,-20.0919847736692,-26.1527820075785,-23.174891487623,-22.9046864299831
31.7,-20.0916301823388,-26.1773994784425,-23.1915341747366,-22.9194919615499
31.8,-20.0915044786795,-26.2025159901223,-23.2085762702693,-22.934690201689
31.9,-20.0916078081616,-26.2281346932985,-23.2260197042346,-22.9502832901256
32,-20.0919403222745,-26.2542587711291,-23.2438664338025,-22.96627339743
32.1,-20.092502178435,-26.2808914388129,-23.2621184434928,-22.9826627252858
32.2,-20.0932935398951,-26.3080359430841,-23.2807777453584,-22.9994535067608
32.3,-20.0943145756497,-26.3356955616353,-23.2998463791596,-23.0166480065802
32.4,-20.0955654603451,-26.3638736024615,-23.3193264125269,-23.0342485214028
32.5,-20.0970463741871,-26.3925734031212,-23.3392199411118,-23.0522573800997
32.6,-20.0987575028496,-26.4217983299069,-23.3595290887253,-23.0706769440337
32.7,-20.100699037382,-26.4515517769183,-23.3802560074607,-23.0895096073411
32.8,-20.1028711741182,-26.481837165033,-23.4014028778028,-23.1087577972141
32.9,-20.1052752469864,-26.51266058222,-23.422973989092,-23.1284260353558
33,-20.1079114656646,-26.5440255497577,-23.4449716115323,-23.1485168523791
33.1,-20.1107789105172,-26.5759329373645,-23.4673959424488,-23.169030728128
33.2,-20.1138777982283,-26.6083862609211,-23.4902492774215,-23.1899702258214
33.3,-20.1172083503003,-26.6413890560211,-23.513533940677,-23.2113379431528
33.4,-20.1207707929598,-26.6749448761304,-23.5372522850715,-23.2331365125677
33.5,-20.1245653570642,-26.709057290577,-23.5614066920449,-23.2553686015358
33.6,-20.1285922780063,-26.7437298823584,-23.5859995715471,-23.278036912821
33.7,-20.1328517956194,-26.7789662457546,-23.6110333619316,-23.3011441847447
33.8,-20.1373441540812,-26.8147699837327,-23.6365105298165,-23.3246931914436
33.9,-20.142069601817,-26.8511447051289,-23.6624335699086,-23.3486867431201
34,-20.1470283914015,-26.8880940215913,-23.6888050047879,-23.3731276862846
34.1,-20.1522207794606,-26.9256215442681,-23.7156273846518,-23.3980189039878
34.2,-20.1576470265714,-26.9637308802233,-23.7429032870127,-23.4233633160424
34.3,-20.1633073971611,-27.0024256285597,-23.770635316349,-23.4491638792319
34.4,-20.1692021594048,-27.0417093762308,-23.7988261037034,-23.4754235875062
34.5,-20.1753315851221,-27.0815856935201,-23.827478306227,-23.5021454721609
34.6,-20.1816959496717,-27.1220581291622,-23.8565946066635,-23.529332601999
34.7,-20.188295531845,-27.163130205086,-23.8861777127714,-23.5569880834746
34.8,-20.1951306137577,-27.2048054107491,-23.9162303566773,-23.585115060813
34.9,-20.2022014807393,-27.2470871970392,-23.946755294158,-23.6137167161091
