"Freq [GHz]","dB(St(1,1)) [] - s='24.5um'"
30.8,-25.3047615993158
30.9,-25.2958548158862
31,-25.2871164066679
31.1,-25.2785461663521
31.2,-25.2701438940244
31.3,-25.2619093930871
31.4,-25.2538424711832
31.5,-25.2459429401205
31.6,-25.2382106157979
31.7,-25.2306453181314
31.8,-25.2232468709825
31.9,-25.2160151020863
32,-25.208949842982
32.1,-25.2020509289427
32.2,-25.1953181989077
32.3,-25.1887514954147
32.4,-25.1823506645336
32.5,-25.1761155558008
32.6,-25.1700460221543
32.7,-25.1641419198704
32.8,-25.1584031085003
32.9,-25.1528294508085
33,-25.147420812711
33.1,-25.1421770632159
33.2,-25.1370980743629
33.3,-25.1321837211653
33.4,-25.1274338815519
33.5,-25.12284843631
33.6,-25.1184272690289
33.7,-25.1141702660449
33.8,-25.1100773163862
33.9,-25.1061483117192
34,-25.1023831462955
34.1,-25.0987817168989
34.2,-25.0953439227946
34.3,-25.0920696656779
34.4,-25.0889588496238
34.5,-25.0860113810383
34.6,-25.083227168609
34.7,-25.0806061232576
34.8,-25.0781481580927
34.9,-25.0758531883629
35,-25.0737211314113
35.1,-25.0717519066305
35.2,-25.0699454354179
35.3,-25.0683016411322
35.4,-25.0668236359004
35.5,-25.0655081572942
35.6,-25.0643551344022
35.7,-25.0633644981035
35.8,-25.0625361810276
35.9,-25.0618701175143
36,-25.0613662435757
36.1,-25.0610244968572
36.2,-25.0608448166005
36.3,-25.0608271436068
36.4,-25.0609714202002
36.5,-25.0612775901928
36.6,-25.0617455988493
36.7,-25.0623753928532
36.8,-25.0631669202732
36.9,-25.0641201305303
37,-25.0652349743656
37.1,-25.0665114038089
37.2,-25.0679493721475
37.3,-25.0695488338964
37.4,-25.0713097447685
37.5,-25.0732320616457
37.6,-25.0753157425505
37.7,-25.0775607466187
37.8,-25.0799670340722
37.9,-25.0825345661928
38,-25.0852633052966
38.1,-25.0881532147087
38.2,-25.0912042587393
38.3,-25.0944164026596
38.4,-25.097789612679
38.5,-25.1013238559225
38.6,-25.1050191004092
38.7,-25.1088753150311
38.8,-25.1128924695326
38.9,-25.1170705344905
39,-25.1214094812955
39.1,-25.1259092821331
