"Freq [GHz]","lost_power_fraction []"
17.709,0.0398146363069273
17.758,0.039898317963018
17.807,0.0399820515662774
17.856,0.0400658361445183
17.905,0.0401496707228526
17.954,0.0402335543237711
18.003,0.0403174859672235
18.052,0.0404014646707002
18.101,0.0404854894493131
18.15,0.0405695593158675
18.199,0.0406536732809464
18.248,0.0407378303529786
18.297,0.0408220295383176
18.346,0.0409062698413175
18.395,0.0409905502643989
18.444,0.0410748698081277
18.493,0.0411592274712772
18.542,0.0412436222509106
18.591,0.0413280531424373
18.64,0.0414125191396828
18.689,0.04149701923497
18.738,0.0415815524191598
18.787,0.0416661176817434
18.836,0.0417507140108888
18.885,0.0418353403935079
18.934,0.0419199958153286
18.983,0.0420046792609433
19.032,0.0420893897138833
19.081,0.0421741261566708
19.13,0.0422588875708807
19.179,0.0423436729372019
19.228,0.042428481235497
19.277,0.0425133114448547
19.326,0.0425981625436553
19.375,0.0426830335096173
19.424,0.042767923319863
19.473,0.0428528309509676
19.522,0.0429377553790166
19.571,0.0430226955796594
19.62,0.0431076505281632
19.669,0.0431926191994667
19.718,0.0432776005682313
19.767,0.0433625936088909
19.816,0.0434475972957089
19.865,0.0435326106028269
19.914,0.0436176325043091
19.963,0.0437026619742034
20.012,0.0437876979865791
20.061,0.0438727395155861
20.11,0.0439577855354941
20.159,0.0440428350207477
20.208,0.0441278869460118
20.257,0.0442129402862131
20.306,0.0442979940165966
20.355,0.0443830471127648
20.404,0.0444680985507263
20.453,0.0445531473069352
20.502,0.0446381923583472
20.551,0.0447232326824573
20.6,0.0448082672573406
20.649,0.0448932950617024
20.698,0.0449783150749187
20.747,0.0450633262770807
20.796,0.0451483276490358
20.845,0.0452333181724304
20.894,0.0453182968297532
20.943,0.0454032626043732
20.992,0.0454882144805889
21.041,0.0455731514436571
21.09,0.045658072479845
21.139,0.0457429765764676
21.188,0.0458278627219205
21.237,0.0459127299057305
21.286,0.0459975771185841
21.335,0.0460824033523805
21.384,0.0461672076002574
21.433,0.0462519888566344
21.482,0.0463367461172541
21.531,0.0464214783792162
21.58,0.0465061846410164
21.629,0.0465908639025866
21.678,0.0466755151653275
21.727,0.0467601374321511
21.776,0.0468447297075129
21.825,0.0469292909974496
21.874,0.0470138203096161
21.923,0.047098316653323
21.972,0.0471827790395737
22.021,0.0472672064810891
22.07,0.0473515979923599
22.119,0.0474359525896717
22.168,0.0475202692911372
22.217,0.0476045471167399
22.266,0.0476887850883643
22.315,0.0477729822298287
22.364,0.0478571375669232
22.413,0.0479412501274405
22.462,0.0480253189412094
22.511,0.0481093430401367
22.56,0.0481933214582271
22.609,0.0482772532316267
22.658,0.048361137398653
22.707,0.0484449729998278
22.756,0.0485287590779128
22.805,0.0486124946779348
22.854,0.0486961788472271
22.903,0.048779810635456
22.952,0.0488633890946587
23.001,0.0489469132792634
23.05,0.0490303822461398
23.099,0.0491137950546119
23.148,0.0491971507665041
23.197,0.0492804484461632
23.246,0.049363687160494
23.295,0.049446865978991
23.344,0.0495299839737665
23.393,0.0496130402195859
23.442,0.0496960337938916
23.491,0.0497789637768449
23.54,0.0498618292513394
23.589,0.0499446293030511
23.638,0.0500273630204565
23.687,0.0501100294948631
23.736,0.0501926278204454
23.785,0.0502751570942691
23.834,0.0503576164163226
23.883,0.0504400048895497
23.932,0.0505223216198769
23.981,0.0506045657162405
24.03,0.0506867362906227
24.079,0.0507688324580716
24.128,0.0508508533367398
24.177,0.0509327980479078
24.226,0.0510146657160141
24.275,0.0510964554686856
24.324,0.0511781664367646
24.373,0.0512597977543384
24.422,0.0513413485587697
24.471,0.0514228179907226
24.52,0.0515042051941893
24.569,0.0515855093165251
24.618,0.0516667295084706
24.667,0.0517478649241826
24.716,0.0518289147212616
24.765,0.0519098780607801
24.814,0.0519907541073124
24.863,0.0520715420289591
24.912,0.0521522409973738
24.961,0.0522328501877989
25.01,0.0523133687790867
25.059,0.0523937959537237
25.108,0.052474130897868
25.157,0.0525543728013722
25.206,0.0526345208578053
25.255,0.0527145742644902
25.304,0.0527945322225212
25.353,0.0528743939367997
25.402,0.0529541586160583
25.451,0.0530338254728798
25.5,0.053113393723742
25.549,0.0531928625890243
25.598,0.0532722312930544
25.647,0.0533514990641162
25.696,0.0534306651344923
25.745,0.0535097287404819
25.794,0.0535886891224295
25.843,0.0536675455247528
25.892,0.0537462971959671
25.941,0.0538249433887158
25.99,0.0539034833597919
26.039,0.0539819163701674
26.088,0.0540602416850199
26.137,0.0541384585737577
26.186,0.0542165663100472
26.235,0.0542945641718375
26.284,0.0543724514413862
26.333,0.0544502274052925
26.382,0.0545278913545117
26.431,0.0546054425843912
26.48,0.0546828803946908
26.529,0.0547602040896131
26.578,0.0548374129778253
26.627,0.0549145063724851
26.676,0.05499148359127
26.725,0.0550683439564061
26.774,0.0551450867946794
26.823,0.0552217114374809
26.872,0.0552982172208182
26.921,0.0553746034853444
26.97,0.0554508695763889
27.019,0.0555270148439773
27.068,0.0556030386428581
27.117,0.0556789403325328
27.166,0.0557547192772723
27.215,0.0558303748461537
27.264,0.0559059064130745
27.313,0.0559813133567878
27.362,0.0560565950609188
27.411,0.0561317509139994
27.46,0.0562067803094846
27.509,0.0562816826457849
27.558,0.0563564573262877
27.607,0.0564311037593813
27.656,0.0565056213584884
27.705,0.0565800095420748
27.754,0.0566542677336943
27.803,0.0567283953620018
27.852,0.0568023918607784
27.901,0.0568762566689616
27.95,0.0569499892306659
27.999,0.0570235889952135
28.048,0.057097055417151
28.097,0.0571703879562792
28.146,0.0572435860776838
28.195,0.0573166492517448
28.244,0.0573895769541796
28.293,0.0574623686660545
28.342,0.0575350238738133
28.391,0.0576075420693054
28.44,0.057679922749809
28.489,0.0577521654180515
28.538,0.057824269582242
28.587,0.0578962347560874
28.636,0.0579680604588263
28.685,0.0580397462152442
28.734,0.0581112915557062
28.783,0.0581826960161765
28.832,0.0582539591382489
28.881,0.0583250804691615
28.93,0.0583960595618304
28.979,0.0584668959748711
29.028,0.058537589272622
29.077,0.058608139025173
29.126,0.0586785448083802
29.175,0.0587488062039021
29.224,0.0588189227992213
29.273,0.0588888941876605
29.322,0.0589587199684178
29.371,0.0590283997465813
29.42,0.0590979331331665
29.469,0.0591673197451265
29.518,0.059236559205381
29.567,0.0593056511428504
29.616,0.0593745951924611
29.665,0.0594433909951918
29.714,0.0595120381980774
29.763,0.0595805364542464
29.812,0.0596488854229383
29.861,0.0597170847695362
29.91,0.0597851341655806
29.959,0.0598530332887981
30.008,0.0599207818231265
30.057,0.0599883794587395
30.106,0.0600558258920665
30.155,0.0601231208258231
30.204,0.0601902639690286
30.253,0.0602572550370326
30.302,0.060324093751542
30.351,0.060390779840641
30.4,0.0604573130388153
30.449,0.0605236930869781
30.498,0.0605899197324952
30.547,0.0606559927292017
30.596,0.0607219118374321
30.645,0.0607876768240497
30.694,0.0608532874624528
30.743,0.0609187435326195
30.792,0.0609840448211123
30.841,0.0610491911211176
30.89,0.0611141822324559
30.939,0.0611790179616212
30.988,0.0612436981217876
31.037,0.0613082225328428
31.086,0.0613725910214143
31.135,0.0614368034208801
31.184,0.0615008595714092
31.233,0.0615647593199719
31.282,0.0616285025203684
31.331,0.0616920890332536
31.38,0.0617555187261544
31.429,0.0618187914735041
