"Freq [GHz]","dB(St(2,1)) []"
31.36,-0.511936160856186
31.415,-0.512879914226824
31.47,-0.513867180545489
31.525,-0.514900029895866
31.58,-0.515980387572764
31.635,-0.517109987910694
31.69,-0.518290323565282
31.745,-0.519522590541217
31.8,-0.520807629472726
31.855,-0.522145863909516
31.91,-0.523537236641207
31.965,-0.524981145396812
32.02,-0.526476379577446
32.075,-0.528021059996174
32.13,-0.529612583901407
32.185,-0.531247577812382
32.24,-0.532921860879765
32.295,-0.534630421564917
32.35,-0.53636741038025
32.405,-0.53812615122453
32.46,-0.53989917345708
32.515,-0.541678266279914
32.57,-0.543454556232931
32.625,-0.545218607683912
32.68,-0.54696054514389
32.735,-0.548670195123446
32.79,-0.550337244132345
32.845,-0.551951408403148
32.9,-0.553502610065374
32.955,-0.554981153896103
33.01,-0.556377898483614
33.065,-0.557684415704549
33.12,-0.558893132839901
33.175,-0.559997452421957
33.23,-0.560991845958048
33.285,-0.561871918939538
33.34,-0.562634445923925
33.395,-0.563277375869033
33.45,-0.563799809204278
33.505,-0.564201949259869
33.56,-0.564485031579587
33.615,-0.564651235269639
33.67,-0.564703580883915
33.725,-0.564645819414709
33.78,-0.564482316785467
33.835,-0.564217937871154
33.89,-0.563857933553709
33.945,-0.563407833710599
34,-0.562873348385364
34.055,-0.562260278738791
34.11,-0.561574438775995
34.165,-0.560821588296991
34.22,-0.560007377057842
34.275,-0.559137299753699
34.33,-0.558216661149869
34.385,-0.557250550483628
34.44,-0.556243824133363
34.495,-0.555201095487837
34.55,-0.554126730939403
34.605,-0.553024850954638
34.66,-0.55189933523838
34.715,-0.550753831087656
34.77,-0.549591764126991
34.825,-0.548416350715416
34.88,-0.547230611417078
34.935,-0.546037385021955
34.99,-0.544839342695646
35.045,-0.543639001919013
35.1,-0.542438739951635
35.155,-0.541240806618203
35.21,-0.540047336272608
35.265,-0.53886035883993
35.32,-0.537681809877084
35.375,-0.53651353962287
35.43,-0.535357321034743
35.485,-0.534214856827849
35.54,-0.53308778554914
35.595,-0.531977686727895
35.65,-0.530886085154424
35.705,-0.529814454342581
35.76,-0.528764219235395
35.815,-0.527736758215435
35.87,-0.526733404481473
35.925,-0.525755446852606
35.98,-0.524804130061175
36.035,-0.523880654592888
36.09,-0.522986176132443
36.145,-0.522121804670147
36.2,-0.521288603324246
36.255,-0.520487586930413
36.31,-0.519719720450278
36.365,-0.518985917246501
36.42,-0.518287037272758
36.475,-0.517623885222381
36.53,-0.516997208680795
36.585,-0.516407696322277
36.64,-0.515855976190593
36.695,-0.515342614101404
36.75,-0.514868112201401
36.805,-0.514432907715871
36.86,-0.514037371915861
36.915,-0.513681809329682
36.97,-0.513366457223848
37.025,-0.513091485372299
37.08,-0.512856996130072
37.135,-0.51266302482371
37.19,-0.512509540466334
37.245,-0.512396446800851
37.3,-0.512323583671332
37.355,-0.512290728716541
37.41,-0.51229759937756
37.465,-0.512343855205373
37.52,-0.512429100451445
37.575,-0.512552886920219
37.63,-0.512714717058477
37.685,-0.512914047255291
37.74,-0.513150291321147
37.795,-0.513422824114916
37.85,-0.5137309852844
37.905,-0.514074083085295
37.96,-0.514451398243412
38.015,-0.514862187824102
38.07,-0.515305689073448
38.125,-0.51578112319787
38.18,-0.51628769904765
38.235,-0.51682461667502
38.29,-0.517391070736595
38.345,-0.517986253714253
38.4,-0.518609358931152
38.455,-0.519259583341531
38.51,-0.519936130077508
38.565,-0.520638210737833
38.62,-0.52136504740837
38.675,-0.522115874405469
38.73,-0.522889939738223
38.785,-0.523686506287597
38.84,-0.524504852703439
38.895,-0.525344274023465
38.95,-0.526204082019987
39.005,-0.527083605283608
39.06,-0.527982189053356
39.115,-0.528899194806416
39.17,-0.529833999620496
39.225,-0.530785995323816
39.28,-0.531754587448702
39.335,-0.532739194005283
39.39,-0.533739244092426
39.445,-0.534754176363248
39.5,-0.53578343736268
39.555,-0.536826479754673
39.61,-0.537882760456137
39.665,-0.538951738694422
39.72,-0.540032874005011
39.775,-0.541125624184609
39.83,-0.542229443215492
39.885,-0.543343779174823
39.94,-0.544468072142792
39.995,-0.54560175212254
40.05,-0.546744236982957
40.105,-0.547894930436297
40.16,-0.549053220060028
40.215,-0.550218475372197
40.27,-0.551390045968832
40.325,-0.552567259730751
40.38,-0.553749421106204
40.435,-0.554935809475319
40.49,-0.556125677601508
40.545,-0.557318250173647
40.6,-0.558512722443161
40.655,-0.559708258958456
40.71,-0.560903992399148
40.765,-0.562099022511874
40.82,-0.563292415148684
40.875,-0.564483201408565
40.93,-0.56567037688248
40.985,-0.566852901001521
41.04,-0.568029696487461
41.095,-0.569199648904956
41.15,-0.570361606313744
41.205,-0.571514379019544
41.26,-0.572656739421623
41.315,-0.573787421955117
41.37,-0.574905123125648
41.425,-0.576008501634175
41.48,-0.577096178589265
41.535,-0.578166737804155
41.59,-0.579218726176287
41.645,-0.580250654145718
41.7,-0.581260996230768
41.755,-0.582248191636716
41.81,-0.583210644935983
41.865,-0.584146726815964
41.92,-0.585054774892258
41.975,-0.58593309458444
42.03,-0.586779960051279
42.085,-0.587593615183414
42.14,-0.588372274650488
42.195,-0.589114124999554
42.25,-0.589817325803994
42.305,-0.590480010858982
42.36,-0.591100289422079
42.415,-0.591676247496222
42.47,-0.592205949154204
42.525,-0.592687437901051
42.58,-0.593118738073919
42.635,-0.593497856277013
42.69,-0.59382278284998
42.745,-0.59409149336875
42.8,-0.594301950176747
42.855,-0.594452103945855
42.91,-0.594539895265316
42.965,-0.594563256258262
43.02,-0.594520112224357
43.075,-0.594408383307634
43.13,-0.594225986189823
43.185,-0.593970835806947
43.24,-0.593640847089889
43.295,-0.593233936728188
43.35,-0.592748024956662
43.405,-0.592181037364014
43.46,-0.591530906724745
43.515,-0.59079557485284
43.57,-0.589972994477791
43.625,-0.58906113114328
43.68,-0.588057965128622
43.735,-0.586961493392489
43.79,-0.58576973154068
43.845,-0.584480715817157
43.9,-0.583092505119025
43.955,-0.581603183037208
44.01,-0.580010859921875
44.065,-0.578313674975106
44.12,-0.57650979837074
44.175,-0.574597433403327
44.23,-0.572574818667457
44.285,-0.570440230269184
44.34,-0.568191984072089
44.395,-0.565828437979968
44.45,-0.563347994260025
44.505,-0.560749101910091
44.56,-0.5580302590748
44.615,-0.555190015516149
44.67,-0.552226975146553
44.725,-0.549139798632521
44.78,-0.54592720608083
44.835,-0.542587979820203
44.89,-0.539120967295984
44.945,-0.535525084099495
45,-0.531799317156958
