"Freq [GHz]","dB(St(1,1)) []"
38.7,-18.9286655672285
38.8,-18.6597527161546
38.9,-18.4080511088401
39,-18.1678236640318
39.1,-17.9376797296716
39.2,-17.7226610609833
39.3,-17.5121347446226
39.4,-17.3195778375718
39.5,-17.127020930521
39.6,-16.9547419453324
39.7,-16.7824629601437
39.8,-16.6250159633131
39.9,-16.471276963572
40,-16.3278363255549
40.1,-16.1912612620205
40.2,-16.0611216319898
40.3,-15.9406351522148
40.4,-15.8232023642026
40.5,-15.7179843432414
40.6,-15.6127663222803
40.7,-15.5222170803979
40.8,-15.4316678385155
40.9,-15.3525279988813
41,-15.2762405098091
41.1,-15.2083673025257
41.2,-15.1461036164347
41.3,-15.0894133292263
41.4,-15.0410831403419
41.5,-14.9955469716028
41.6,-14.9611868834448
41.7,-14.9268267952868
41.8,-14.906579456829
41.9,-14.8863321183711
42,-14.8775569986033
42.1,-14.8716499335079
42.2,-14.8745218734676
42.3,-14.883246483464
42.4,-14.8979579802308
42.5,-14.9216498071532
42.6,-14.9484076247583
42.7,-14.9874294050937
42.8,-15.0264511854292
42.9,-15.0811804225427
43,-15.1359096596562
43.1,-15.2035136195642
43.2,-15.2743362601709
43.3,-15.3550521128611
43.4,-15.4423634402737
43.5,-15.5364354862386
43.6,-15.6406486100319
43.7,-15.748331404029
43.8,-15.8698928788405
43.9,-15.991454353652
44,-16.1308656695199
44.1,-16.2702769853878
44.2,-16.424433722789
44.3,-16.5822768155737
44.4,-16.7515928077557
44.5,-16.928557399536
44.6,-17.1135003322578
44.7,-17.3104107763917
44.8,-17.5115069723141
44.9,-17.7293461753906
45,-17.947185378467
