Freq.	S12(V1)
1.29189189189189e+10	(-7.95690702719921e-01dB,1.33867761205896e+01°)
1.29679679679680e+10	(-7.94165691864954e-01dB,1.20912455510761e+01°)
1.30170170170170e+10	(-7.92510877316480e-01dB,1.07952844361653e+01°)
1.30660660660661e+10	(-7.90728395532053e-01dB,9.49885742085625e+00°)
1.31151151151151e+10	(-7.88820597978183e-01dB,8.20192954868086e+00°)
1.31641641641642e+10	(-7.86790050057208e-01dB,6.90446631644595e+00°)
1.32132132132132e+10	(-7.84639529739122e-01dB,5.60643372919874e+00°)
1.32622622622623e+10	(-7.82372025892410e-01dB,4.30779835535606e+00°)
1.33113113113113e+10	(-7.79990736308481e-01dB,3.00852738194122e+00°)
1.33603603603604e+10	(-7.77499065413546e-01dB,1.70858866986849e+00°)
1.34094094094094e+10	(-7.74900621662678e-01dB,4.07950809207050e-01°)
1.34584584584585e+10	(-7.72199214610332e-01dB,-8.93416825643992e-01°)
1.35075075075075e+10	(-7.69398851652286e-01dB,-2.19554402093613e+00°)
1.35565565565566e+10	(-7.66503734433700e-01dB,-3.49845966879456e+00°)
1.36056056056056e+10	(-7.63518254918581e-01dB,-4.80219171275149e+00°)
1.36546546546547e+10	(-7.60446991116234e-01dB,-6.10676709368650e+00°)
1.37037037037037e+10	(-7.57294702460418e-01dB,-7.41221169625200e+00°)
1.37527527527528e+10	(-7.54066324837695e-01dB,-8.71855029588155e+00°)
1.38018018018018e+10	(-7.50766965261616e-01dB,-1.00258065064786e+01°)
1.38508508508509e+10	(-7.47401896190131e-01dB,-1.13340027288798e+01°)
1.38998998998999e+10	(-7.43976549484119e-01dB,-1.26431601002067e+01°)
1.39489489489489e+10	(-7.40496510005548e-01dB,-1.39532984442061e+01°)
1.39979979979980e+10	(-7.36967508854756e-01dB,-1.52644362226946e+01°)
1.40470470470470e+10	(-7.33395416246605e-01dB,-1.65765904882245e+01°)
1.40960960960961e+10	(-7.29786234026701e-01dB,-1.78897768380871e+01°)
1.41451451451451e+10	(-7.26146087829270e-01dB,-1.92040093697791e+01°)
1.41941941941942e+10	(-7.22481218879683e-01dB,-2.05193006380527e+01°)
1.42432432432432e+10	(-7.18797975445197e-01dB,-2.18356616136850e+01°)
1.42922922922923e+10	(-7.15102803938956e-01dB,-2.31531016440837e+01°)
1.43413413413413e+10	(-7.11402239683224e-01dB,-2.44716284158790e+01°)
1.43903903903904e+10	(-7.07702897338990e-01dB,-2.57912479196168e+01°)
1.44394394394394e+10	(-7.04011461010518e-01dB,-2.71119644166985e+01°)
1.44884884884885e+10	(-7.00334674034514e-01dB,-2.84337804086994e+01°)
1.45375375375375e+10	(-6.96679328464878e-01dB,-2.97566966092004e+01°)
1.45865865865866e+10	(-6.93052254265714e-01dB,-3.10807119182620e+01°)
1.46356356356356e+10	(-6.89460308226160e-01dB,-3.24058233996832e+01°)
1.46846846846847e+10	(-6.85910362612454e-01dB,-3.37320262611642e+01°)
1.47337337337337e+10	(-6.82409293573852e-01dB,-3.50593138375087e+01°)
1.47827827827828e+10	(-6.78963969320477e-01dB,-3.63876775769877e+01°)
1.48318318318318e+10	(-6.75581238092806e-01dB,-3.77171070309846e+01°)
1.48808808808809e+10	(-6.72267915943641e-01dB,-3.90475898470358e+01°)
1.49299299299299e+10	(-6.69030774355044e-01dB,-4.03791117653828e+01°)
1.49789789789790e+10	(-6.65876527714144e-01dB,-4.17116566191298e+01°)
1.50280280280280e+10	(-6.62811820672962e-01dB,-4.30452063381112e+01°)
1.50770770770771e+10	(-6.59843215418586e-01dB,-4.43797409565549e+01°)
1.51261261261261e+10	(-6.56977178881759e-01dB,-4.57152386246183e+01°)
1.51751751751752e+10	(-6.54220069912616e-01dB,-4.70516756238726e+01°)
1.52242242242242e+10	(-6.51578126453618e-01dB,-4.83890263867913e+01°)
1.52732732732733e+10	(-6.49057452740945e-01dB,-4.97272635202929e+01°)
1.53223223223223e+10	(-6.46664006566193e-01dB,-5.10663578333780e+01°)
1.53713713713714e+10	(-6.44403586631350e-01dB,-5.24062783688849e+01°)
1.54204204204204e+10	(-6.42281820030435e-01dB,-5.37469924393719e+01°)
1.54694694694695e+10	(-6.40304149892150e-01dB,-5.50884656671363e+01°)
1.55185185185185e+10	(-6.38475823217802e-01dB,-5.64306620283464e+01°)
1.55675675675676e+10	(-6.36801878949675e-01dB,-5.77735439012581e+01°)
1.56166166166166e+10	(-6.35287136304563e-01dB,-5.91170721184839e+01°)
1.56656656656657e+10	(-6.33936183407630e-01dB,-6.04612060232413e+01°)
1.57147147147147e+10	(-6.32753366261433e-01dB,-6.18059035295186e+01°)
1.57637637637638e+10	(-6.31742778084335e-01dB,-6.31511211860695e+01°)
1.58128128128128e+10	(-6.30908249052678e-01dB,-6.44968142441253e+01°)
1.58618618618619e+10	(-6.30253336479561e-01dB,-6.58429367287210e+01°)
1.59109109109109e+10	(-6.29781315462985e-01dB,-6.71894415134878e+01°)
1.59599599599600e+10	(-6.29495170034668e-01dB,-6.85362803987760e+01°)
1.60090090090090e+10	(-6.29397584839627e-01dB,-6.98834041929431e+01°)
1.60580580580581e+10	(-6.29490937375602e-01dB,-7.12307627966341e+01°)
1.61071071071071e+10	(-6.29777290819373e-01dB,-7.25783052898610e+01°)
1.61561561561562e+10	(-6.30258387465998e-01dB,-7.39259800216927e+01°)
1.62052052052052e+10	(-6.30935642804456e-01dB,-7.52737347023301e+01°)
1.62542542542543e+10	(-6.31810140251798e-01dB,-7.66215164973550e+01°)
1.63033033033033e+10	(-6.32882626565561e-01dB,-7.79692721239168e+01°)
1.63523523523524e+10	(-6.34153507951963e-01dB,-7.93169479486143e+01°)
1.64014014014014e+10	(-6.35622846885451e-01dB,-8.06644900868250e+01°)
1.64504504504505e+10	(-6.37290359652009e-01dB,-8.20118445032303e+01°)
1.64994994994995e+10	(-6.39155414627315e-01dB,-8.33589571132677e+01°)
1.65485485485485e+10	(-6.41217031297076e-01dB,-8.47057738852557e+01°)
1.65975975975976e+10	(-6.43473880025321e-01dB,-8.60522409429106e+01°)
1.66466466466466e+10	(-6.45924282573051e-01dB,-8.73983046679973e+01°)
1.66956956956957e+10	(-6.48566213367721e-01dB,-8.87439118028360e+01°)
1.67447447447447e+10	(-6.51397301520865e-01dB,-9.00890095523975e+01°)
1.67937937937938e+10	(-6.54414833588690e-01dB,-9.14335456857204e+01°)
1.68428428428428e+10	(-6.57615757068473e-01dB,-9.27774686363846e+01°)
1.68918918918919e+10	(-6.60996684620190e-01dB,-9.41207276017834e+01°)
1.69409409409409e+10	(-6.64553899001042e-01dB,-9.54632726409378e+01°)
1.69899899899900e+10	(-6.68283358698089e-01dB,-9.68050547706073e+01°)
1.70390390390390e+10	(-6.72180704241634e-01dB,-9.81460260594604e+01°)
1.70880880880881e+10	(-6.76241265180323e-01dB,-9.94861397200680e+01°)
1.71371371371371e+10	(-6.80460067696491e-01dB,-1.00825350198511e+02°)
1.71861861861862e+10	(-6.84831842838746e-01dB,-1.02163613261376e+02°)
1.72352352352352e+10	(-6.89351035346675e-01dB,-1.03500886079966e+02°)
1.72842842842843e+10	(-6.94011813041429e-01dB,-1.04837127311509e+02°)
1.73333333333333e+10	(-6.98808076753941e-01dB,-1.06172297177223e+02°)
1.73823823823824e+10	(-7.03733470761853e-01dB,-1.07506357537059e+02°)
1.74314314314314e+10	(-7.08781393704613e-01dB,-1.08839271960981e+02°)
1.74804804804805e+10	(-7.13945009945547e-01dB,-1.10171005796656e+02°)
1.75295295295295e+10	(-7.19217261349009e-01dB,-1.11501526233438e+02°)
1.75785785785786e+10	(-7.24590879439841e-01dB,-1.12830802362535e+02°)
1.76276276276276e+10	(-7.30058397911986e-01dB,-1.14158805233276e+02°)
1.76766766766767e+10	(-7.35612165453426e-01dB,-1.15485507905421e+02°)
1.77257257257257e+10	(-7.41244358853511e-01dB,-1.16810885497420e+02°)
1.77747747747748e+10	(-7.46946996359663e-01dB,-1.18134915230615e+02°)
1.78238238238238e+10	(-7.52711951250301e-01dB,-1.19457576469324e+02°)
1.78728728728729e+10	(-7.58530965591203e-01dB,-1.20778850756815e+02°)
1.79219219219219e+10	(-7.64395664143059e-01dB,-1.22098721847136e+02°)
1.79709709709710e+10	(-7.70297568388711e-01dB,-1.23417175732848e+02°)
1.80200200200200e+10	(-7.76228110648903e-01dB,-1.24734200668634e+02°)
1.80690690690691e+10	(-7.82178648257158e-01dB,-1.26049787190862e+02°)
1.81181181181181e+10	(-7.88140477763829e-01dB,-1.27363928133104e+02°)
1.81671671671672e+10	(-7.94104849142335e-01dB,-1.28676618637693e+02°)
