Freq.	S22(V1)
9.82882882882883e+09	(-2.87923047178692e+01dB,5.68878301214747e+01°)
9.87787787787788e+09	(-2.89772450684752e+01dB,5.55023433525500e+01°)
9.92692692692693e+09	(-2.91697615414836e+01dB,5.41060449110706e+01°)
9.97597597597598e+09	(-2.93702509559544e+01dB,5.26977173323761e+01°)
1.00250250250250e+10	(-2.95791437703834e+01dB,5.12759995425190e+01°)
1.00740740740741e+10	(-2.97969079099252e+01dB,4.98393642178451e+01°)
1.01231231231231e+10	(-3.00240531259836e+01dB,4.83860907912638e+01°)
1.01721721721722e+10	(-3.02611359734226e+01dB,4.69142331073287e+01°)
1.02212212212212e+10	(-3.05087655049175e+01dB,4.54215804616886e+01°)
1.02702702702703e+10	(-3.07676097984454e+01dB,4.39056104116932e+01°)
1.03193193193193e+10	(-3.10384034521923e+01dB,4.23634312865532e+01°)
1.03683683683684e+10	(-3.13219562010206e+01dB,4.07917117174351e+01°)
1.04174174174174e+10	(-3.16191628288440e+01dB,3.91865936958678e+01°)
1.04664664664665e+10	(-3.19310145694638e+01dB,3.75435845761887e+01°)
1.05155155155155e+10	(-3.22586122003294e+01dB,3.58574219546388e+01°)
1.05645645645646e+10	(-3.26031810308051e+01dB,3.41219033294196e+01°)
1.06136136136136e+10	(-3.29660879542399e+01dB,3.23296696494699e+01°)
1.06626626626627e+10	(-3.33488606448210e+01dB,3.04719279732389e+01°)
1.07117117117117e+10	(-3.37532087883722e+01dB,2.85380930192980e+01°)
1.07607607607608e+10	(-3.41810468572151e+01dB,2.65153197288907e+01°)
1.08098098098098e+10	(-3.46345172219718e+01dB,2.43878881208686e+01°)
1.08588588588589e+10	(-3.51160110672499e+01dB,2.21363863618753e+01°)
1.09079079079079e+10	(-3.56281821538162e+01dB,1.97366162978202e+01°)
1.09569569569570e+10	(-3.61739440529964e+01dB,1.71581155025065e+01°)
1.10060060060060e+10	(-3.67564334338382e+01dB,1.43621491538185e+01°)
1.10550550550551e+10	(-3.73789073121195e+01dB,1.12989738414486e+01°)
1.11041041041041e+10	(-3.80445154351148e+01dB,7.90412185863149e+00°)
1.11531531531532e+10	(-3.87558406088994e+01dB,4.09343085929570e+00°)
1.12022022022022e+10	(-3.95140141875480e+01dB,-2.43352205709702e-01°)
1.12512512512513e+10	(-4.03170706490248e+01dB,-5.25006871962193e+00°)
1.13003003003003e+10	(-4.11569966083668e+01dB,-1.11108940459266e+01°)
1.13493493493493e+10	(-4.20147409986606e+01dB,-1.80505610696791e+01°)
1.13983983983984e+10	(-4.28527137270169e+01dB,-2.63140014360974e+01°)
1.14474474474474e+10	(-4.36062791232507e+01dB,-3.60992614804229e+01°)
1.14964964964965e+10	(-4.41814080469015e+01dB,-4.74175910165141e+01°)
1.15455455455455e+10	(-4.44728493439743e+01dB,-5.99135381106029e+01°)
1.15945945945946e+10	(-4.44095814381515e+01dB,-7.28110080343514e+01°)
1.16436436436436e+10	(-4.39983558356086e+01dB,-8.51607083246070e+01°)
1.16926926926927e+10	(-4.33191500355370e+01dB,-9.62446287458217e+01°)
1.17417417417417e+10	(-4.24778805680533e+01dB,-1.05774658355441e+02°)
1.17907907907908e+10	(-4.15644435532940e+01dB,-1.13803570877513e+02°)
1.18398398398398e+10	(-4.06387661915436e+01dB,-1.20544070380954e+02°)
1.18888888888889e+10	(-3.97349405002462e+01dB,-1.26240774828706e+02°)
1.19379379379379e+10	(-3.88698496644067e+01dB,-1.31112603793374e+02°)
1.19869869869870e+10	(-3.80502893593211e+01dB,-1.35337082275491e+02°)
1.20360360360360e+10	(-3.72775874982340e+01dB,-1.39052248164067e+02°)
1.20850850850851e+10	(-3.65503041055860e+01dB,-1.42363757686242e+02°)
1.21341341341341e+10	(-3.58657267626323e+01dB,-1.45352274301296e+02°)
1.21831831831832e+10	(-3.52206704148158e+01dB,-1.48079641499617e+02°)
1.22322322322322e+10	(-3.46118904824059e+01dB,-1.50593638916281e+02°)
1.22812812812813e+10	(-3.40362852879027e+01dB,-1.52931525402441e+02°)
1.23303303303303e+10	(-3.34909853871723e+01dB,-1.55122645174669e+02°)
1.23793793793794e+10	(-3.29733832933566e+01dB,-1.57190340744915e+02°)
1.24284284284284e+10	(-3.24811327517126e+01dB,-1.59153361936863e+02°)
1.24774774774775e+10	(-3.20121333772021e+01dB,-1.61026910516249e+02°)
1.25265265265265e+10	(-3.15645091468348e+01dB,-1.62823420968103e+02°)
1.25755755755756e+10	(-3.11365852196719e+01dB,-1.64553149255931e+02°)
1.26246246246246e+10	(-3.07268653519805e+01dB,-1.66224620854519e+02°)
1.26736736736737e+10	(-3.03340109701870e+01dB,-1.67844974808776e+02°)
1.27227227227227e+10	(-2.99568223143987e+01dB,-1.69420230309813e+02°)
