"Freq [GHz]","dB(St(1,1)) [] - g='14.5um'","dB(St(1,1)) [] - g='16.5um'","dB(St(1,1)) [] - g='17.5um'","dB(St(1,1)) [] - g='18.5um'","dB(St(1,1)) [] - g='19.5um'","dB(St(1,1)) [] - g='20.5um'","dB(St(1,1)) [] - g='21.5um'","dB(St(1,1)) [] - g='22.5um'","dB(St(1,1)) [] - g='23.5um'","dB(St(1,1)) [] - g='25.5um'"
12.1,-22.8340647848949,-23.2199395648237,-21.5726179365118,-24.6366708889351,-23.0765447676167,-19.7480085354453,-22.3511579505045,-24.1506729871477,-21.0622579947311,-23.2631322375229
12.2,-22.8178751463361,-23.2056066562775,-21.5510830621518,-24.6236834923173,-23.0632825667561,-19.7227705595775,-22.3296284711715,-24.1345167535617,-21.0458001126189,-23.2462940677063
12.3,-22.8026924165525,-23.1923062464488,-21.5305280026211,-24.611717295079,-23.0510902686003,-19.6984493129041,-22.3090546575902,-24.1193659348889,-21.0303815298639,-23.2304704777286
12.4,-22.7885105308274,-23.1800328166298,-21.5109469370565,-24.600765968064,-23.0399621636594,-19.6750370001123,-22.2894292657501,-24.1052137779049,-21.0159959076105,-23.2156546466498
12.5,-22.7753237530297,-23.1687811675688,-21.4923342388691,-24.5908234688434,-23.0298928583528,-19.6525260842877,-22.2707452988083,-24.0920538200132,-21.0026371806759,-23.2018400032224
12.6,-22.7631266673362,-23.1585464106547,-21.4746844694282,-24.5818840355085,-23.0208772696559,-19.63090928022,-22.252996000728,-24.0798798835301,-20.9902995519091,-23.1890202218809
12.7,-22.7519141703041,-23.1493239595897,-21.4579923723236,-24.5739421807148,-23.0129106200458,-19.6101795479758,-22.236174850228,-24.0686860702394,-20.9789774868382,-23.1771892190308
12.8,-22.7416814632755,-23.1411095225098,-21.4422528681754,-24.5669926859698,-23.005988432737,-19.5903300867272,-22.2202755550305,-24.0584667562039,-20.9686657085948,-23.1663411496156
12.9,-22.732424045102,-23.1338990945204,-21.4274610499579,-24.5610305961538,-23.0001065271986,-19.5713543288228,-22.2052920463923,-24.0492165868256,-20.9593591931047,-23.1564704039456
13,-22.724137705174,-23.1276889506172,-21.4136121788075,-24.5560512142667,-22.9952610149425,-19.5532459340933,-22.1912184739071,-24.0409304721436,-20.951053164534,-23.1475716047705
13.1,-22.7168185167445,-23.1224756389669,-21.4007016802851,-24.5520500963931,-22.991448295576,-19.5359987843771,-22.1780492005657,-24.0336035823641,-20.9437430909797,-23.1396396045803
13.2,-22.7104628305358,-23.1182559745272,-21.388725141062,-24.5490230468778,-22.9886650531118,-19.5196069782606,-22.1657787980645,-24.0272313436107,-20.9374246803977,-23.1326694831194
13.3,-22.7050719597743,-23.1150318763082,-21.3776828432337,-24.546970850906,-22.9869132705049,-19.5040689640519,-22.1544063982831,-24.0218140723216,-20.9320986991549,-23.126661215185
13.4,-22.700642750869,-23.1128006400538,-21.3675706303883,-24.5458897455086,-22.9861901546811,-19.4893791826826,-22.1439269075421,-24.0173476393166,-20.9277612717511,-23.1216102670253
13.5,-22.6971676524074,-23.1115549967232,-21.358380003848,-24.5457715044017,-22.9864881996982,-19.4755281946525,-22.1343311231981,-24.0138235639349,-20.9244039691622,-23.117507701806
13.6,-22.694644073426,-23.1112927775349,-21.3501071733595,-24.5466128871388,-22.9878052028236,-19.4625109223346,-22.1256144147469,-24.0112382643997,-20.9220234287831,-23.1143494933849
13.7,-22.6930696722122,-23.1120120529105,-21.3427484985879,-24.5484108802279,-22.9901392308375,-19.4503224812847,-22.1177723401517,-24.0095883965907,-20.920616510664,-23.1121318331401
13.8,-22.6924423514396,-23.1137111278095,-21.3363004878089,-24.5511626934591,-22.993488617776,-19.438958176091,-22.1108006424359,-24.0088708509991,-20.9201802947033,-23.1108511285114
13.9,-22.6927602535336,-23.1163885373111,-21.3307597968525,-24.5548657564082,-22.9978519628973,-19.4284134963843,-22.1046952464571,-24.0090827498644,-20.9207120780272,-23.1105040016764
14,-22.6940217562617,-23.1200430424338,-21.3261232282752,-24.5595177151102,-23.0032281288672,-19.4186841130011,-22.0994522558589,-24.0102214444868,-20.9222093725515,-23.1110872883539
14.1,-22.6962254685442,-23.1246736261867,-21.3223877307433,-24.565116428902,-23.0096162401634,-19.4097658742946,-22.0950679501896,-24.0122845127123,-20.9246699027205,-23.1125980367257
14.2,-22.6993702264814,-23.1302794898475,-21.319550398609,-24.5716599674297,-23.0170156816951,-19.4016548025896,-22.0915387821855,-24.0152697565866,-20.9280916034198,-23.1150335064724
14.3,-22.7034550895942,-23.1368600494613,-21.3176084716634,-24.5791466078193,-23.0254260976379,-19.3943470907743,-22.0888613752098,-24.0191752001759,-20.9324726180572,-23.1183911679144
