"Freq [GHz]","dB(St(1,1)) [] - g='14.5um'","dB(St(1,1)) [] - g='16.5um'","dB(St(1,1)) [] - g='17.5um'","dB(St(1,1)) [] - g='18.5um'","dB(St(1,1)) [] - g='19.5um'","dB(St(1,1)) [] - g='20.5um'","dB(St(1,1)) [] - g='21.5um'","dB(St(1,1)) [] - g='22.5um'","dB(St(1,1)) [] - g='23.5um'","dB(St(1,1)) [] - g='25.5um'"
5.3,-27.4407797847726,-27.4962976777751,-26.0976741846401,-28.7141947851639,-27.2822400215202,-24.4851587434468,-26.8944473813156,-28.4325164655751,-25.4138272962518,-27.5828417164184
5.4,-27.3338708813886,-27.36418520344,-25.9644013541713,-28.5869837848281,-27.1509538832435,-24.3492175240447,-26.7607026211727,-28.301939075162,-25.281648727691,-27.4518564904512
5.5,-27.2107188471298,-27.2354463658743,-25.8344519279186,-28.4629488855716,-27.0229691559105,-24.2165186181775,-26.6302355116196,-28.1745784199885,-25.152733384605,-27.3241456359971
5.6,-27.0654010068842,-27.1099632383049,-25.7077120048188,-28.3419917991262,-26.8981810176674,-24.0869540910985,-26.5029360856858,-28.0503333078108,-25.0269753125048,-27.1995989133672
5.7,-26.9028140989177,-26.9876210359656,-25.5840736002906,-28.2240195466702,-26.7764904009702,-23.9604219578153,-26.37870036251,-27.9291080436918,-24.904274450223,-27.0781121966707
5.8,-26.7349376585882,-26.8683073716975,-25.463434260678,-28.108944068666,-26.6578035760611,-23.8368257555452,-26.2574299380806,-27.8108120291472,-24.7845362109291,-26.9595870629007
5.9,-26.5721942067546,-26.7519115648055,-25.3456967109023,-27.9966818706398,-26.5420317714716,-23.7160741533037,-26.1390316099035,-27.6953593974252,-24.667671098847,-26.843930414212
6,-26.4196681373412,-26.6383505302936,-25.2307952189239,-27.8871797717714,-26.4291178032968,-23.5981068346649,-26.0234435074902,-27.5826950050834,-24.5536209124703,-26.7310805754101
6.1,-26.2780079714353,-26.5274868705327,-25.1186136308049,-27.7803350214259,-26.3189533726562,-23.482813951594,-25.910553818733,-27.4727137417565,-24.4422772932316,-26.6209261152412
6.2,-26.146088211529,-26.41921238565,-25.0090684903278,-27.6760760969833,-26.2114627278872,-23.3701176537554,-25.8002830977289,-27.3653421560988,-24.333564134705,-26.5133880458242
6.3,-26.0223500337061,-26.3134198605778,-24.9020803708647,-27.5743349049639,-26.1065738492453,-23.2599439545391,-25.6925558673674,-27.2605103533998,-24.2274091716898,-26.40839145603
6.4,-25.905370685508,-26.2100040383785,-24.7975736454921,-27.475046558151,-26.0042182064954,-23.1522224791221,-25.5873003712887,-27.1581517639806,-24.1237437309395,-26.3058652583963
