"Freq [GHz]","re(Zo(1)) [] - s='18um'","re(Zo(1)) [] - s='19um'","re(Zo(1)) [] - s='20um'","re(Zo(1)) [] - s='22um'","re(Zo(1)) [] - s='23.5um'","re(Zo(1)) [] - s='24.5um'","re(Zo(1)) [] - s='25.5um'","re(Zo(1)) [] - s='26.5um'"
10.1,51.2084722949636,50.3230977076891,49.8023881422294,48.4813450053202,47.6991056869037,46.8972703440589,46.6917459390708,46.0633875689486
10.2,51.2041925879742,50.3192075443882,49.7979741492648,48.4772041229989,47.6948725900796,46.8931432318935,46.688219419735,46.0594215388945
10.3,51.199976609299,50.3153679063854,49.7936284696959,48.4731270235758,47.6907053451659,46.8890777427485,46.6847353735557,46.0555150875669
10.4,51.1958223477427,50.3115769775445,49.7893489377572,48.4691116532863,47.6866018200885,46.8850718599464,46.6812924308969,46.0516663576978
10.5,51.191727860542,50.3078330220658,49.7851334625368,48.4651560316455,47.6825599596262,46.8811236401754,46.677889282313,46.0478735561107
10.6,51.1876912708987,50.3041343802858,49.7809800252149,48.4612582486293,47.6785777824238,46.8772312106128,46.6745246752777,46.0441349513648
10.7,51.1837107656099,50.3004794647323,49.7768866764119,48.4574164619712,47.6746533781313,46.8733927661713,46.6711974111185,46.0404488714915
10.8,51.1797845927905,50.2968667564182,49.7728515336414,48.453628894572,47.6707849046618,46.8696065668609,46.6679063421428,46.0368137018192
10.9,51.1759120597616,50.2932955731417,49.7688738500792,48.4498948290895,47.666971613818,46.8658718950747,46.664651036436,46.0332288210107
11,51.1720904699148,50.2897636995637,49.7649507333272,48.4462115529488,47.6632107004437,46.862186113753,46.6614297339979,46.0296917287121
11.1,51.16831824552,50.2862698052183,49.7610804905381,48.4425774732152,47.6595005152051,46.8585476666055,46.6582414268894,46.0262009727226
11.2,51.1645938617616,50.2828126151749,49.7572614863734,48.4389910526267,47.6558394669876,46.8549550527934,46.6550851481693,46.0227551501209
11.3,51.1609158448728,50.279390907318,49.7534921409241,48.4354508075006,47.6522260206833,46.8514068248076,46.6519599698107,46.0193529054877
11.4,51.1572827703396,50.2760035097836,49.7497709277117,48.4319553057261,47.6486586950692,46.8479015864348,46.6488650007433,46.0159929291955
11.5,51.1536932611737,50.2726492985415,49.7460963717667,48.4285031648375,47.6451360607726,46.8444379908079,46.6457993850106,46.0126739557653
11.6,51.1501459862491,50.2693271951145,49.7424670477813,48.4250930501653,47.6416567383191,46.8410147385374,46.6427623000369,46.0093947622852
11.7,51.1466396587019,50.2660361644255,49.7388815783328,48.4217236730629,47.6382193962604,46.8376305759184,46.6397529549963,46.0061541668909
11.8,51.1431730343894,50.2627752127642,49.7353386321756,48.4183937892031,47.6348227493778,46.8342842932119,46.6367705892751,46.0029510273024
11.9,51.1397449104065,50.2595433858664,49.7318369225991,48.4151021969443,47.6314655569586,46.8309747229966,46.6338144710247,45.9997842394183
12,51.1363541236573,50.256339767098,49.7283752058474,48.4118477357612,47.6281466211425,46.8277007385867,46.6308838957968,45.9966527359625
12.1,51.1329995494795,50.2531634757379,49.7249522796001,48.4086292847386,47.6248647853336,46.8244612525155,46.6279781852562,45.9935554851824
12.2,51.1296801003196,50.2500136653532,49.7215669815109,48.405445761125,47.6216189326777,46.8212552150791,46.6250966859669,45.9904914895966
12.3,51.1263947244566,50.2468895222612,49.7182181878012,48.402296118943,47.6184079845992,46.8180816129395,46.6222387682457,45.9874597847897
12.4,51.123142404773,50.2437902640727,49.7149048119078,48.399179347656,47.6152308993977,46.8149394677842,46.61940382508,45.9844594382533
12.5,51.1199221575703,50.240715138312,49.7116258031807,48.396094470886,47.6120866708993,46.8118278350387,46.6165912711058,45.9814895482693
12.6,51.1167330314281,50.2376634211088,49.7083801456313,48.3930405451831,47.6089743271628,46.8087458026317,46.6138005416405,45.9785492428361
12.7,51.1135741061045,50.2346344159574,49.7051668567263,48.3900166588422,47.6058929292363,46.8056924898083,46.6110310917702,45.9756376786353
12.8,51.1104444914767,50.2316274525396,49.7019849862284,48.3870219307667,47.6028415699632,46.8026670459912,46.6082823954843,45.9727540400359
