"Freq [GHz]","lost_power_fraction [] - g='14.5um'","lost_power_fraction [] - g='16.5um'","lost_power_fraction [] - g='17.5um'","lost_power_fraction [] - g='18.5um'","lost_power_fraction [] - g='19.5um'","lost_power_fraction [] - g='20.5um'","lost_power_fraction [] - g='21.5um'","lost_power_fraction [] - g='22.5um'","lost_power_fraction [] - g='23.5um'","lost_power_fraction [] - g='25.5um'"
23.1,0.0771087445552963,0.07035567184001,0.0691341833583805,0.066793735313614,0.0651564160438304,0.0642688792778338,0.0627476935694011,0.0624550055344502,0.0625644806505919,0.0607178479943853
23.2,0.0772970381328134,0.070528384571507,0.0693264359412387,0.0669433989301906,0.0653324060625381,0.0644484947271273,0.0629116074582113,0.0626183711460123,0.0627309212361653,0.0608692491126676
23.3,0.0774837370908407,0.0707001414107374,0.0695185607069665,0.0670910382667042,0.0655082619019604,0.0646291591663657,0.0630753833982187,0.0627816002754535,0.062897079175969,0.0610203035178192
23.4,0.0776686577260483,0.0708708488277201,0.0697105513556624,0.0672364525338689,0.0656839814764412,0.0648110940363107,0.063239025897224,0.0629446972763287,0.0630629560147562,0.0611710188301986
23.5,0.0778515849319777,0.0710404002109553,0.0699024015838231,0.0673794113285682,0.0658595627229853,0.064994575902475,0.0634025397459486,0.0631076666491572,0.0632285536737497,0.0613214032348631
23.6,0.0780322660685383,0.0712086750159022,0.0700941050825846,0.0675196497595549,0.0660350035994847,0.0651799537915226,0.0635659300194687,0.0632705130374429,0.0633938744544565,0.0614714654922689
23.7,0.0782104036901057,0.0713755386684449,0.0702856555357846,0.0676568629301438,0.0662103020829401,0.0653676731922362,0.0637292020786429,0.0634332412235689,0.0635589210423698,0.0616212149489896
23.8,0.0783856470555707,0.0715408439064655,0.0704770466178038,0.0677906998851201,0.0663854561677225,0.0655583097547942,0.0638923615715597,0.0635958561245907,0.06372369651054,0.0617706615484381
23.9,0.0785575824864166,0.0717044346767744,0.0706682719912187,0.0679207573396461,0.0665604638638562,0.0657526173194382,0.06405541443499,0.0637583627879138,0.0638882043230429,0.0619198158416095
24,0.0787257229502492,0.0718661543686993,0.0708593253042207,0.068046573914623,0.0667353231953745,0.0659515974504342,0.0642183668958594,0.0639207663868717,0.0640524483383302,0.0620686889978175
24.1,0.0788894978785303,0.0720258611395828,0.0710502001878247,0.0681676263743932,0.0669100321987328,0.0661566017519606,0.0643812254727451,0.0640830722162077,0.06421643281248,0.0622172928154336
24.2,0.0790482454563491,0.0721834544204698,0.0712408902528368,0.0682833308150454,0.0670845889213214,0.0663694848949947,0.0645439969773978,0.0642452856874624,0.0643801624023532,0.0623656397326105
24.3,0.0792012119506538,0.072338918290673,0.0714313890865842,0.0683930544816981,0.0672589914200775,0.0665928370444372,0.0647066885162972,0.0644074123242755,0.0645436421686632,0.0625137428379871
24.4,0.0793475669565523,0.072492388792953,0.0716216902494006,0.0684961490342421,0.0674332377602437,0.0668303413641189,0.0648693074922506,0.0645694577576086,0.0647068775789521,0.0626616158813777
24.5,0.0794864512326618,0.072644252053962,0.0718117872708489,0.0685920257879886,0.0676073260142751,0.0670873271028068,0.0650318616060239,0.0647314277208946,0.0648698745105063,0.062809273284406
