"Freq [GHz]","dB(St(1,1)) [] - g_pillar_position='49.5um'","dB(St(1,1)) [] - g_pillar_position='62um'","dB(St(1,1)) [] - g_pillar_position='74.5um'","dB(St(1,1)) [] - g_pillar_position='87um'","dB(St(1,1)) [] - g_pillar_position='99.5um'","dB(St(1,1)) [] - g_pillar_position='112um'","dB(St(1,1)) [] - g_pillar_position='124.5um'","dB(St(1,1)) [] - g_pillar_position='137um'","dB(St(1,1)) [] - g_pillar_position='149.5um'","dB(St(1,1)) [] - g_pillar_position='162um'","dB(St(1,1)) [] - g_pillar_position='174.5um'","dB(St(1,1)) [] - g_pillar_position='187um'","dB(St(1,1)) [] - g_pillar_position='199.5um'"
4.1,-29.0645693167075,-29.9682977686001,-29.2405587506178,-30.5657926662734,-30.1625607127171,-28.9952463415921,-31.0059032946218,-29.2578896349811,-29.5667010011628,-29.0465299540076,-31.0485383140602,-31.2492207553014,-31.3746717674148
4.2,-28.869539560005,-29.789653918429,-29.0521591135228,-30.3793889631089,-29.9784579595484,-28.8078369858504,-30.8230915739993,-29.0645681215068,-29.3905303502609,-28.856800893204,-30.877118709498,-31.0639254922938,-31.1942358294335
4.3,-28.6791238729057,-29.6146407916428,-28.8682578964492,-30.197101043531,-29.798367511933,-28.6247041327163,-30.6442398652493,-28.8759112867267,-29.2180349479122,-28.6716310320833,-30.7090558257327,-30.8828570910328,-31.0176056898219
4.4,-28.4931474647762,-29.4431576004107,-28.6886725629787,-30.0187887420242,-29.6221563044716,-28.4456986469114,-30.469205547149,-28.6917392954104,-29.0491065725194,-28.4908431821766,-30.5442563724751,-30.7058617491085,-30.8446649091552
4.5,-28.3114451317943,-29.2751060899717,-28.5132311734926,-29.8443182475176,-29.4496967854985,-28.2706784938161,-30.2978532583615,-28.5118822065253,-28.8836404206257,-28.3142699512236,-30.3826296457451,-30.5327929164249,-30.6753010822038
4.6,-28.1338606469433,-29.1103907082579,-28.3417717286517,-29.6735618459178,-29.2808667791754,-28.0995084277165,-30.1300545702921,-28.3361793720639,-28.7215351537327,-28.1417531348467,-30.224087613419,-30.3635110376264,-30.5094058527481
4.7,-27.9602461865324,-28.9489187171938,-28.1741415476699,-29.5063976571962,-29.1155493237301,-27.932059673978,-29.9656876581489,-28.1644788647829,-28.5626929053344,-27.9731431420899,-30.0685449646015,-30.1978832770224,-30.3468748872005
4.8,-27.7904617926899,-28.7906002573789,-28.0101966815482,-29.342709371808,-28.9536324935234,-27.7682096107458,-29.8046369745771,-27.9966369363604,-28.4070192571187,-27.8082984550779,-29.915919129951,-30.0357832341438,-30.1876078168901
4.9,-27.6243748707516,-28.6353483757007,-27.8498013607769,-29.1823859899887,-28.7950092108633,-27.6078414548162,-29.6467929291214,-27.8325175064627,-28.2544231915119,-27.6470851222958,-29.7661302787763,-29.8770906560202,-30.031508156859
5,-27.4618597201094,-28.4830790236623,-27.6928274765594,-29.0253215665146,-28.6395770520918,-27.4508439555087,-29.4920515758937,-27.6719916824997,-28.1048170263204,-27.489376284465,-29.619101297661,-29.7216911506951,-29.8784832074136
5.1,-27.3027970968785,-28.3337110327647,-27.5391540943061,-28.8714149627663,-28.4872380513513,-27.2971110995046,-29.3403143111425,-27.5149373093422,-27.9581163360681,-27.3350517316633,-29.47475775451,-29.5694759052779,-29.7284439433894
5.2,-27.1470738066167,-28.1871660721042,-27.3886669979596,-28.7205696073631,-28.3378985045601,-27.1465418286902,-29.1914875818882,-27.3612385479388,-27.8142398637092,-27.1839974901252,-29.3330278512003,-29.4203414108967,-29.5813048950525
5.3,-26.9945823252879,-28.0433685923748,-27.2412582636026,-28.5726932661906,-28.1914687754383,-26.9990397721231,-29.0454826063776,-27.2107854815535,-27.6731094256479,-27.0361054370591,-29.1938423674499,-29.2741891961966,-29.436984023733
5.4,-26.8452204466619,-27.902245759681,-27.0968258607554,-28.4276978223039,-28.0478631049416,-26.8545129924453,-28.9022151067885,-27.0634737482144,-27.5346498123959,-26.8912729417699,-29.0571345980373,-29.1309255704818,-29.2954025946199
5.5,-26.6988909543859,-27.7637273819122,-26.9552732797616,-28.2854990659334,-27.9069994251816,-26.7128737464873,-28.7616050543724,-26.9192041979016,-27.398788686714,-26.7494025313902,-28.922840285121,-28.9904613771802,-29.156485048613
5.6,-26.55550131702,-27.6277458299048,-26.8165091836904,-28.1460164946236,-27.7687991789018,-26.5740382594589,-28.6235764270346,-26.777882572985,-27.2654564806928,-26.6104015795615,-28.7908975470895,-28.8527117579962,-29.0201588746981
5.7,-26.4149634044141,-27.4942359551795,-26.6804470832263,-28.0091731233938,-27.6331871458729,-26.4379265119735,-28.4880569792057,-26.6394192104408,-27.1345862929104,-26.4741820164708,-28.6612468051044,-28.7175959278789,-28.8863544839691
5.8,-26.2771932238816,-27.3631350056901,-26.5470050330799,-27.8748953047023,-27.5000912781555,-26.3044620391362,-28.3549780237563,-26.5037287644114,-27.0061137865514,-26.3406600587241,-28.5338307082886,-28.5850369607607,-28.7550050861437
5.9,-26.1421106747269,-27.2343825407264,-26.4161053485178,-27.7431125579208,-27.3694425468119,-26.173571740977,-28.2242742256268,-26.3707299477335,-26.8799770891666,-26.2097559576239,-28.4085940583289,-28.4549615858911,-28.6260465692014
6,-26.009664208965,-27.1079422537488,-26.2876978620667,-27.6137805787616,-27.2411975285995,-26.0452096037965,-28.0959055064082,-26.2403702006753,-26.7561384541554,-26.0814179803584,-28.2855040828725,-28.3273230110825,-28.4994396438161
6.1,-25.8797546093003,-26.9837351253271,-26.1616878342193,-27.4868103831506,-27.115268936348,-25.9192835986936,-27.9697894760616,-26.1125493815876,-26.6345178272233,-25.9555482161723,-28.1644883680347,-28.2020304692846,-28.3751018547052
6.2,-25.7523122287939,-26.8617071981762,-26.0380089364049,-27.3621401306745,-26.9915960966767,-25.7957297639505,-27.8458698033298,-25.9871970892955,-26.5150602100335,-25.8320777647771,-28.0454977761379,-28.079020618609,-28.2529765029499
6.3,-25.6272704819779,-26.7418064899571,-25.9165981350606,-27.2397105487676,-26.8701208781999,-25.674486840745,-27.7240927867888,-25.8642461051655,-26.3977126892495,-25.7109409055527,-27.9284850227269,-27.958233051871,-28.1330091210495
6.4,-25.5045656731207,-26.6239829142396,-25.7973954909538,-27.119464804426,-26.7507875884571,-25.5554961321336,-27.6044072011191,-25.7436322117659,-26.282424350033,-25.5920749199478,-27.8134046055101,-27.839610141327,-28.0151473727472
6.5,-25.3841368359755,-26.5081882037644,-25.6803439717168,-27.0013483830775,-26.6335428610607,-25.4387013702054,-27.4867641524229,-25.6252940236502,-26.1691461927169,-25.4754199254551,-27.7002127349973,-27.7230968917991,-27.8993409570918
6.6,-25.2659255841551,-26.3943758361644,-25.565389276697,-26.8853089742166,-26.518335531176,-25.3240485909663,-27.3711169421225,-25.5091728293827,-26.057831052677,-25.3609187203065,-27.5888672669732,-27.6086408017764,-27.7855415166859
6.7,-25.1498759713452,-26.2825009622474,-25.452479673285,-26.7712963634233,-26.4051165049467,-25.2114860165285,-27.2574209389955,-25.3952124439869,-25.9484335233853,-25.248516638105,-27.4793276369077,-27.4961917320871,-27.6737025500398
6.8,-25.0359343606273,-26.1725203368984,-25.3415658439411,-26.6592623304025,-26.2938386325423,-25.1009639441907,-27.1456334589066,-25.2833590710616,-25.8409098826092,-25.1381614116688,-27.3715547963744,-27.3857017817496,-27.563779327926
6.9,-24.9240493022419,-26.0643922526249,-25.232600743195,-26.5491605526942,-26.1844565931232,-24.9924346420078,-27.0357136518153,-25.1735611738608,-25.7352180216955,-25.0298030454214,-27.2655111515186,-27.277125170622,-27.4557288136163
7,-24.8141714191733,-25.9580764757407,-25.1255394639418,-26.4409465147232,-26.0769267952581,-24.8858522504641,-26.9276223956519,-25.0657693546903,-25.6313173778673,-24.923393695712,-27.1611605035996,-27.1704181284851,-27.3495095868667
7.1,-24.7062532999882,-25.853534185159,-25.0203391124048,-26.334577421872,-25.9712072916768,-24.781172689884,-26.8213221966718,-24.9599362420211,-25.5291688694491,-24.8188875585038,-27.0584679916086,-27.0655387902089,-27.2450817715151
7.2,-24.6002493984025,-25.7507279137532,-24.9169586911817,-26.2300121192785,-25.8672577048162,-24.6783535732274,-26.7167770959156,-24.8560163847653,-25.4287348339273,-24.7162407639064,-26.9574000369567,-26.9624470966713,-27.1424069665429
7.3,-24.4961159390954,-25.6496214922249,-24.8153589898265,-26.1272110150779,-25.7650391594038,-24.577354123937,-26.6139525814175,-24.7539661532042,-25.3299789687502,-24.6154112770747,-26.8579242902093,-26.8611047011081,-27.0414481804602
7.4,-24.393810829324,-25.5501799954138,-24.7155024824626,-26.0261360078217,-25.664514219304,-24.4781350985261,-26.5128155058253,-24.6537436460932,-25.2328662747663,-24.5163588050312,-26.7600095798374,-26.7614748805981,-26.9421697688655
7.5,-24.2932935759288,-25.4523696909736,-24.6173532319535,-25.926750417825,-25.5656468270417,-24.3806587136061,-26.4133340091101,-24.5553086035102,-25.1373630021988,-24.4190447090041,-26.6636258629486,-26.6635224523935,-26.8445373750376
7.6,-24.1945252073526,-25.3561579903352,-24.5208768001927,-25.8290189222074,-25.4684022453249,-24.2848885770799,-26.3154774460598,-24.4586223250417,-25.0434365990542,-24.3234319219066,-26.5687441779553,-26.5672136948282,-26.7485178734184
7.7,-24.0974682003224,-25.2615134018739,-24.4260401641042,-25.7329074934062,-25.3727470004121,-24.1907896232366,-26.21921631827,-24.3636475929357,-24.9510556618646,-24.2294848706083,-26.47533659913,-26.4725162725478,-26.6540793158481
7.8,-24.0020864108736,-25.1684054861952,-24.3328116369721,-25.638383340956,-25.2786488274069,-24.0983280515035,-26.1245222103575,-24.2703485998752,-24.8601898886609,-24.1371694026802,-26.3833761929998,-26.3793991658192,-26.5611908804201
