"Freq [GHz]","lost_power_fraction [] - g_pillar_position='49.5um'","lost_power_fraction [] - g_pillar_position='62um'","lost_power_fraction [] - g_pillar_position='74.5um'","lost_power_fraction [] - g_pillar_position='87um'","lost_power_fraction [] - g_pillar_position='99.5um'","lost_power_fraction [] - g_pillar_position='112um'","lost_power_fraction [] - g_pillar_position='124.5um'","lost_power_fraction [] - g_pillar_position='137um'","lost_power_fraction [] - g_pillar_position='149.5um'","lost_power_fraction [] - g_pillar_position='162um'","lost_power_fraction [] - g_pillar_position='174.5um'","lost_power_fraction [] - g_pillar_position='187um'","lost_power_fraction [] - g_pillar_position='199.5um'"
34.1,0.0821252367710689,0.0806574151487154,0.081571050094692,0.0797859384290737,0.0797539255336145,0.0831922846586702,0.0814909948167546,0.0837522447531935,0.0821031823960299,0.0840833571658443,0.0814741285879903,0.0820976132293,0.0821845444776631
34.2,0.0822685394805742,0.0808114737585704,0.0817253631741875,0.0799340196732838,0.0798997585459675,0.0833403601563366,0.0816166686325053,0.0839104677582834,0.0822598596117373,0.0842292435194977,0.0816221966074595,0.0822424537422627,0.0823296731803
34.3,0.0824112505736957,0.0809648391562411,0.081879383805453,0.0800816026564458,0.0800451666876115,0.0834885859781791,0.0817417739432705,0.0840683817377677,0.0824161537676192,0.0843749017702491,0.0817708172365605,0.0823876337126035,0.0824742036367429
34.4,0.0825533135548752,0.0811174606446199,0.0820330425645027,0.0802286205001674,0.0801900871478174,0.0836369591999333,0.0818662977512887,0.0842259074522645,0.0825719548128142,0.084520282802157,0.0819199283161193,0.0825330935206767,0.0826180739105008
34.5,0.0826946724483203,0.081269286864562,0.082186268948609,0.0803750068704821,0.0803344574468765,0.0837854246293996,0.081990226766559,0.0843829651478259,0.0827271504555574,0.0846653357218165,0.0820694623456994,0.0826787691786562,0.0827612225649026
34.6,0.0828352719560055,0.0814202656100421,0.0823389915740453,0.0805206961581743,0.0804782156306526,0.0839338886697161,0.082113547416847,0.0845394746865853,0.0828816267984903,0.0848100079461011,0.0822193465827225,0.0828245924509634,0.0829035888137191
34.7,0.0829750576100273,0.0815703437399163,0.082491138379322,0.080665623654112,0.0806213004582598,0.0840822328453438,0.0822362458582226,0.0846953557003405,0.0830352690065118,0.0849542452995897,0.0823695031845082,0.0829704910096301,0.0830451126705355
34.8,0.0831139759186678,0.0817194671848282,0.0826426368328845,0.0808097257185186,0.0807636515819397,0.0842303252285365,0.0823583079860973,0.0848505277633429,0.0831879619997162,0.0850979921216969,0.082519849394481,0.0831163886252379,0.0831857350961172
34.9,0.0832519745054923,0.0818675810416534,0.0827934141442222,0.080952939943182,0.0809052097183057,0.0843780291307184,0.0824797194468101,0.0850049105809146,0.0833395911633921,0.0852411913834078,0.0826702977734423,0.0832622053936946,0.0833253981426827
35,0.0833890022409517,0.0820146297434446,0.0829433974772931,0.0810952053057779,0.0810459168101646,0.0845252091468793,0.0826004656496973,0.0851584241906344,0.0834900430663583,0.0853837848135049,0.0828207564760362,0.0834078579985299,0.0834640450941791
