Meta Data
Label,Value,


Analytical Results
Table: General
Label,Value,Units
M Cursor Pos,7173.273,nm
M Cursor Width,12745.784,nm
R Cursor Pos,63047.024,nm
R Cursor Width,-1755.976,nm
Type,Two-Points Cursors,


Data Leveling Position
R Cursor Position,63047.0262115765 nm
R Cursor Width,-1755.97624104493 nm
M Cursor Position,7173.27339111467 nm
M Cursor Width,12745.7839808445 nm


Data
Lateral(nm),Height Data(µm),,
2559.57340365787,-0.00946588560772361,,
2569.57173726591,-0.00959161818456487,,
2579.57007087395,-0.00918396894762409,,
2589.56840448199,-0.00898633499817224,,
2599.56673809003,-0.0081991064726084,,
2609.56507169807,-0.00721468544094241,,
2619.5634053061,-0.00674826501555508,,
2629.56173891414,-0.0062239784101781,,
2639.56007252218,-0.00504872796573327,,
2649.55840613022,-0.00449430981066544,,
2659.55673973826,-0.00586870685227332,,
2669.5550733463,-0.00645417047705851,,
2679.55340695434,-0.00643517415039823,,
2689.55174056237,-0.00749467348964536,,
2699.55007417041,-0.00856760344608338,,
2709.54840777845,-0.0089105721180269,,
2719.54674138649,-0.00897565272663487,,
2729.54507499453,-0.00940190706520225,,
2739.54340860257,-0.00939362574737752,,
2749.54174221061,-0.00918713357761735,,
2759.54007581864,-0.00970204523431603,,
2769.53840942668,-0.00987776832127129,,
2779.53674303472,-0.00939561289736303,,
2789.53507664276,-0.00862361099366099,,
2799.5334102508,-0.00850573868255015,,
2809.53174385884,-0.00802379651035299,,
2819.53007746688,-0.00717907449795166,,
2829.52841107491,-0.00666215118957334,,
2839.52674468295,-0.00639081733325147,,
2849.52507829099,-0.00625156111480901,,
2859.52341189903,-0.005837285526708,,
2869.52174550707,-0.00564260920512024,,
2879.52007911511,-0.00563383130703005,,
2889.51841272315,-0.00455710464575095,,
2899.51674633118,-0.00404656405631104,,
2909.51507993922,-0.00342199994350085,,
2919.51341354726,-0.00157367880651727,,
2929.5117471553,0.000204755489801755,,
2939.51008076334,0.00158113167035044,,
2949.50841437138,0.00314112139341887,,
2959.50674797942,0.00482328307863791,,
2969.50508158745,0.0057507893081347,,
2979.50341519549,0.00662050016083522,,
2989.50174880353,0.00711610348456888,,
2999.50008241157,0.0073147889961896,,
3009.49841601961,0.00744235557536013,,
3019.49674962765,0.0074709189544199,,
3029.49508323569,0.00684261686786194,,
3039.49341684372,0.00606295646798681,,
3049.49175045176,0.00528393843331723,,
3059.4900840598,0.00387271591089084,,
3069.48841766784,0.00291274640113115,,
3079.48675127588,0.00246485255632433,,
3089.48508488392,0.00162868440686725,,
3099.48341849196,-0.000131740151275881,,
3109.48175209999,-0.000942631091905059,,
3119.48008570803,-0.000986440904252231,,
3129.47841931607,-0.00209512985408655,,
3139.47675292411,-0.00336542055648752,,
3149.47508653215,-0.00341828076886013,,
3159.47342014019,-0.00323914880179218,,
3169.47175374823,-0.00388180284400587,,
3179.47008735626,-0.00427995903029223,,
3189.4684209643,-0.00395960586039582,,
3199.46675457234,-0.00325091459974647,,
3209.46508818038,-0.00266264579563285,,
3219.46342178842,-0.00153981538102962,,
3229.46175539646,-0.00028016655141837,,
3239.4600890045,0.000947150363516994,,
3249.45842261253,0.00183663895889767,,
3259.45675622057,0.00328328333102982,,
3269.45508982861,0.00422858040206484,,
3279.45342343665,0.00490670051475754,,
3289.45175704469,0.00624853893356631,,
3299.45009065273,0.00761105611631065,,
3309.44842426077,0.00922884231913486,,
3319.4467578688,0.0102785711612378,,
3329.44509147684,0.010455214203283,,
3339.44342508488,0.0113459245391365,,
3349.44175869292,0.0131325607703766,,
3359.44009230096,0.0140848053549707,,
3369.438425909,0.0143875969286019,,
3379.43675951704,0.0154613002312253,,
3389.43509312507,0.0162410330619547,,
3399.43342673311,0.0163909232394944,,
3409.43176034115,0.0165112698899466,,
3419.43009394919,0.016573715928715,,
3429.42842755723,0.0160145275171089,,
3439.42676116527,0.0149294837585883,,
3449.42509477331,0.0146407462253992,,
3459.42342838134,0.0143858903948218,,
3469.42176198938,0.0121667966936249,,
3479.42009559742,0.0108927385436255,,
3489.41842920546,0.0104384155857144,,
3499.4167628135,0.00929509431126062,,
3509.41509642154,0.00827964135127258,,
3519.41343002958,0.00811108856784413,,
3529.41176363761,0.00788970693338779,,
3539.41009724565,0.00795710744211683,,
3549.40843085369,0.00797809249929269,,
3559.40676446173,0.00706211266624159,,
