"Freq [GHz]","dB(St(2,1)) [] - gpillar_r='1um'","dB(St(2,1)) [] - gpillar_r='3um'","dB(St(2,1)) [] - gpillar_r='5um'","dB(St(2,1)) [] - gpillar_r='7um'","dB(St(2,1)) [] - gpillar_r='9um'","dB(St(2,1)) [] - gpillar_r='10um'"
35.8,-0.366421221460492,-0.3463361193437,-0.347494943174954,-0.368896683846495,-0.374397096183749,-0.355531749157761
35.9,-0.366780895428011,-0.34672347232294,-0.347907958404191,-0.369336416963369,-0.374837228526505,-0.355969592076138
36,-0.36713440585386,-0.347104972637084,-0.34831515968767,-0.369769682707232,-0.375270571250695,-0.356401352329981
36.1,-0.367481780415537,-0.34748064162854,-0.348716564591338,-0.370196498743512,-0.375697140574835,-0.356827045684181
36.2,-0.367823047992107,-0.347850501728609,-0.349112191724347,-0.370616883835025,-0.37611695382908,-0.357246688962441
36.3,-0.368158238666668,-0.348214576459801,-0.349502060741788,-0.371030857844125,-0.376530029457864,-0.357660300050079
36.4,-0.368487383728518,-0.348572890438063,-0.349886192347266,-0.371438441734658,-0.37693638702222,-0.358067897896679
36.5,-0.368810515675189,-0.348925469374763,-0.35026460829535,-0.371839657573772,-0.377336047202062,-0.358469502518575
36.6,-0.36912766821425,-0.349272340078544,-0.350637331393849,-0.372234528533623,-0.377729031798274,-0.358865135001161
36.7,-0.369438876264882,-0.349613530457035,-0.351004385505964,-0.372623078892872,-0.378115363734668,-0.359254817501067
36.8,-0.369744175959308,-0.349949069518348,-0.351365795552239,-0.373005334038032,-0.378495067059777,-0.359638573248163
36.9,-0.370043604643937,-0.350278987372441,-0.351721587512442,-0.37338132046473,-0.378868166948506,-0.360016426547371
37,-0.370337200880383,-0.350603315232279,-0.35207178842721,-0.37375106577875,-0.379234689703654,-0.360388402780386
37.1,-0.37062500444621,-0.350922085414896,-0.352416426399581,-0.374114598696941,-0.379594662757252,-0.360754528407162
37.2,-0.370907056335491,-0.351235331342203,-0.352755530596382,-0.374471949047991,-0.379948114671767,-0.361114830967272
37.3,-0.371183398759189,-0.351543087541693,-0.353089131249455,-0.374823147773033,-0.380295075141172,-0.361469339081084
37.4,-0.371454075145268,-0.351845389646941,-0.3534172596567,-0.375168226926129,-0.380635574991849,-0.361818082450818
37.5,-0.371719130138634,-0.352142274397986,-0.353739948183021,-0.375507219674528,-0.380969646183323,-0.362161091861389
37.6,-0.371978609600907,-0.352433779641455,-0.354057230261053,-0.375840160298875,-0.381297321808897,-0.3624983991811
37.7,-0.372232560609837,-0.352719944330641,-0.354369140391801,-0.376167084193214,-0.381618636096107,-0.362830037362177
37.8,-0.372481004837502,-0.353000782743955,-0.354675688165635,-0.376487998734068,-0.381933593575887,-0.363156012989963
