"Freq [GHz]","lost_power_fraction [] - gpillar_r='1um'","lost_power_fraction [] - gpillar_r='3um'","lost_power_fraction [] - gpillar_r='5um'","lost_power_fraction [] - gpillar_r='7um'","lost_power_fraction [] - gpillar_r='9um'","lost_power_fraction [] - gpillar_r='10um'"
17.9,0.0411162555472538,0.0378898987810685,0.0376084525674804,0.0379505256136517,0.0372095609357725,0.0368340671704412
18,0.0412865885580255,0.0380566054176909,0.0377675773726926,0.0381017597860134,0.0373642649221538,0.0369951522481724
18.1,0.0414570925771433,0.0382234146939974,0.0379269234279359,0.0382537417201506,0.0375194722452189,0.0371560107751531
18.2,0.0416277381505201,0.0383902931459291,0.038086489978393,0.0384064547300924,0.0376751583266542,0.0373166812101035
18.3,0.04179850121076,0.0385572151332391,0.0382462748607985,0.0385598765246913,0.037831298704863,0.037477199381918
18.4,0.0419693625664815,0.0387241618899932,0.0384062745379417,0.0387139802954022,0.0379878691459335,0.0376375977116589
18.5,0.0421403079192315,0.0388911203864477,0.0385664862167111,0.0388687420003277,0.0381448495565625,0.0377979041191301
18.6,0.0423113263718606,0.0390580818613406,0.0387269067727347,0.039024137159017,0.0383022213520683,0.0379581431609309
18.7,0.0424824097388704,0.0392250408635672,0.0388875327556147,0.0391801411391862,0.038459967211963,0.0381183362808353
18.8,0.0426535519624131,0.039391994454049,0.0390483603977335,0.0393367293812358,0.0386180708793894,0.0382785020675004
18.9,0.0428247486227744,0.0395589415490272,0.0392093856255391,0.0394938775707515,0.0387765169958866,0.0384386565078036
19,0.0429959965319109,0.03972588238582,0.0393706040724387,0.0396515617679659,0.0389352909646687,0.0385988132287193
19.1,0.0431672933989516,0.0398928180929182,0.0395320110926992,0.0398097585020233,0.0390943788371121,0.0387589837237851
19.2,0.0433386375573098,0.0400597503478512,0.03969360177584,0.0399684448367556,0.0392537672181169,0.0389191775622728
19.3,0.0435100277440667,0.0402266811080556,0.0398553709611962,0.0401275984135991,0.0394134431869774,0.0390794025805229
19.4,0.0436814629232728,0.0403936124019276,0.0400173132523618,0.0402871974764869,0.0395733942309751,0.0392396650557436
19.5,0.04385294214594,0.0405605461690064,0.0401794230313504,0.0404472208825631,0.0397336081894902,0.0393999698630937
19.6,0.0440244644404135,0.0407274841400118,0.0403416944723273,0.0406076481020333,0.0398940732068304,0.0395603206171421
19.7,0.0441960287277871,0.0408944277489362,0.0405041215548355,0.0407684592097621,0.0400547776923129,0.03972071979895
19.8,0.0443676337578404,0.0410613780707345,0.0406666980764537,0.0409296348707504,0.0402157102863976,0.0398811688700119
19.9,0.0445392780616447,0.0412283357792889,0.0408294176648546,0.0410911563212482,0.0403768598318899,0.0400416683743527
20,0.0447109599176929,0.0413953011213129,0.0409922737892707,0.0412530053468228,0.0405382153494156,0.0402022180299154
20.1,0.0448826773288881,0.041562273902667,0.0411552597713264,0.0414151642585087,0.0406997660164752,0.0403628168103885
20.2,0.0450544280081932,0.0417292534842098,0.0413183687953018,0.0415776158678459,0.0408615011495533,0.0405234630184532
20.3,0.0452262093711624,0.0418962387849317,0.0414815939177926,0.0417403434614952,0.0410234101887917,0.0406841543514062
20.4,0.0453980185338528,0.04206322829049,0.041644928076834,0.041903330775897,0.0411854826848717,0.040844887959971
20.5,0.0455698523149242,0.0422302200657245,0.0418083641004825,0.042066561972365,0.0413477082877449,0.0410056605010566
20.6,0.0457417072409491,0.0423972117699742,0.0419718947148947,0.0422300216128886,0.041510076736994,0.0411664681851225
20.7,0.0459135796855899,0.0425642006170025,0.0421355133347176,0.0423936965858225,0.0416725790560398,0.0413273070781378
20.8,0.0460854654020965,0.042731183499084,0.0422992115769831,0.042557569960183,0.0418352037445087,0.0414881722677863
20.9,0.046257360086452,0.0428981569572928,0.0424629819039185,0.0427216273732603,0.041997940767489,0.0416490588555922
21,0.0464292591825201,0.0430651172019574,0.0426268167039071,0.0428858547755723,0.0421607801528418,0.0418099616442469
21.1,0.046601157894164,0.043232060131868,0.0427907082974616,0.0430502384121024,0.04232371198678,0.0419708751656341
21.2,0.0467730511976214,0.0433989813531659,0.0429546489428408,0.0432147648046889,0.0424867264101171,0.0421317937061834
21.3,0.0469449338539482,0.043565876197719,0.0431186308413497,0.0433794207355602,0.042649813615048,0.0422927113298497
21.4,0.0471168004213624,0.0437327397408936,0.0432826461423533,0.0435441932319787,0.0428129638424727,0.0424536218989685
21.5,0.0472886452673922,0.0438995668186256,0.0434466869480065,0.043709069551962,0.0429761673797191,0.0426145190932154
21.6,0.0474604625807295,0.0440663520437551,0.0436107453177357,0.0438740371710103,0.0431394145586558,0.0427753964268679
21.7,0.04763224638274,0.0442330898215836,0.0437748132724849,0.0440390837698075,0.0433026957541399,0.0429362472645413
21.8,0.0478039905385689,0.0443997743646533,0.043938882798736,0.0442041972228458,0.0434660013827546,0.0430970648355726
21.9,0.0479756887678368,0.044566399706765,0.0441029458523357,0.0443693655878972,0.0436293219017943,0.0432578422471643
22,0.0481473346548968,0.0447329597162234,0.0442669943621258,0.0445345770963073,0.0437926478084933,0.0434185724964458
22.1,0.0483189216586443,0.044899448108366,0.0444310202334061,0.0446998201440418,0.0439559696394366,0.0435792484815347
22.2,0.0484904431218769,0.0450658584573696,0.0445950153512296,0.0448650832834478,0.0441192779701566,0.0437398630117124
22.3,0.0486618922802384,0.0452321842073871,0.0447589715835533,0.0450303552156581,0.0442825634148818,0.0439004088167997
22.4,0.0488332622707082,0.0453984186830439,0.0449228807842454,0.045195624783644,0.0444458166264257,0.0440608785557996
22.5,0.0490045461396933,0.0455645550993179,0.045086734795966,0.0453608809658049,0.0446090282961986,0.0442212648248974
22.6,0.0491757368507129,0.0457305865708527,0.0452505254529337,0.0455261128701149,0.0447721891543227,0.0443815601648582
22.7,0.0493468272916965,0.0458965061207214,0.0454142445835737,0.0456913097287522,0.0449352899698549,0.0445417570678992
22.8,0.0495178102819217,0.0460623066886856,0.0455778840130629,0.0458564608931876,0.0450983215510853,0.0447018479840698
22.9,0.0496886785785955,0.0462279811389747,0.0457414355657902,0.0460215558297027,0.0452612747459183,0.0448618253271997
23,0.0498594248831082,0.046393522267627,0.0459048910677221,0.0461865841152968,0.0454241404423263,0.0450216814804308
23.1,0.0500300411767189,0.0465589220843842,0.046068241797773,0.0463515350065806,0.0455869090511893,0.0451814081323203
23.2,0.0502005199595114,0.0467241731629815,0.0462314794741997,0.0465163981452995,0.0457495714125494,0.0453409975091038
23.3,0.0503708544336032,0.0468892688234414,0.0463945964530407,0.04668116380064,0.0459121190132939,0.0455004425635639
23.4,0.0505410371328058,0.0470542016534223,0.0465575845890325,0.0468458219611487,0.0460745429085032,0.0456597356045645
23.5,0.0507110605621748,0.0472189642035382,0.0467204357492745,0.047010362710505,0.046236834196402,0.045818868933305
23.6,0.0508809172026079,0.0473835489925828,0.0468831418151815,0.0471747762252706,0.0463989840190916,0.0459778348471124
23.7,0.0510505995152378,0.0475479485124524,0.047045694684393,0.0473390527728521,0.0465609835633247,0.0461366256430148
23.8,0.0512200999456138,0.0477121552328454,0.0472080862726149,0.0475031827096826,0.0467228240612961,0.0462952336211391
23.9,0.0513894109276957,0.0478761616057145,0.0473703085154386,0.0476671564796033,0.0468844967914695,0.0464536510879169
24,0.0515585248876657,0.0480399600694956,0.0475323533700998,0.0478309646124176,0.047045993079425,0.0466118703591461
24.1,0.051727434247571,0.0482035430531523,0.0476942128172131,0.0479945977226203,0.0472073042987219,0.0467698837628976
24.2,0.0518961314288145,0.0483669029800147,0.0478558788624505,0.0481580465082805,0.0473684218717878,0.0469276836422899
